,real_distance[cm],microseconds,expected_microseconds,relative_error_microseconds,relative_error_microseconds_percent
1,10,550.8316831683169,583.0903790087464,-0.05532366336633656,-5.532366336633656
2,20,1117.1584158415842,1166.1807580174927,-0.04203665841584157,-4.203665841584157
3,30,1696.7821782178219,1749.271137026239,-0.030006188118811852,-3.000618811881185
4,40,2253.6930693069307,2332.3615160349855,-0.03372909653465347,-3.3729096534653467
5,50,2832.079207920792,2915.451895043732,-0.02859683168316829,-2.859683168316829
6,60,3417.09900990099,3498.542274052478,-0.023279199669967034,-2.3279199669967032
7,70,3960.3168316831684,4081.6326530612246,-0.029722376237623763,-2.972237623762376
8,80,4549.039603960396,4664.723032069971,-0.024799634900990204,-2.47996349009902
9,90,5145.881188118812,5247.813411078717,-0.0194237513751374,-1.94237513751374
0,100,5665.732673267326,5830.903790087464,-0.028326846534653543,-2.8326846534653543
