,raw_data,distance[cm]
0,551,9.367
1,551,9.367
2,551,9.367
3,550,9.350000000000001
4,550,9.350000000000001
5,551,9.367
6,550,9.350000000000001
7,550,9.350000000000001
8,551,9.367
9,550,9.350000000000001
10,551,9.367
11,551,9.367
12,551,9.367
13,550,9.350000000000001
14,551,9.367
15,551,9.367
16,550,9.350000000000001
17,551,9.367
18,551,9.367
19,551,9.367
20,551,9.367
21,551,9.367
22,551,9.367
23,551,9.367
24,551,9.367
25,550,9.350000000000001
26,551,9.367
27,551,9.367
28,551,9.367
29,551,9.367
30,550,9.350000000000001
31,551,9.367
32,551,9.367
33,551,9.367
34,551,9.367
35,550,9.350000000000001
36,550,9.350000000000001
37,550,9.350000000000001
38,551,9.367
39,551,9.367
40,551,9.367
41,551,9.367
42,550,9.350000000000001
43,551,9.367
44,551,9.367
45,551,9.367
46,551,9.367
47,551,9.367
48,550,9.350000000000001
49,551,9.367
50,551,9.367
51,550,9.350000000000001
52,551,9.367
53,551,9.367
54,551,9.367
55,551,9.367
56,551,9.367
57,551,9.367
58,551,9.367
59,551,9.367
60,552,9.384
61,551,9.367
62,551,9.367
63,551,9.367
64,551,9.367
65,551,9.367
66,551,9.367
67,551,9.367
68,551,9.367
69,551,9.367
70,551,9.367
71,551,9.367
72,551,9.367
73,551,9.367
74,551,9.367
75,551,9.367
76,551,9.367
77,551,9.367
78,551,9.367
79,551,9.367
80,551,9.367
81,551,9.367
82,550,9.350000000000001
83,550,9.350000000000001
84,551,9.367
85,552,9.384
86,550,9.350000000000001
87,551,9.367
88,551,9.367
89,551,9.367
90,551,9.367
91,551,9.367
92,551,9.367
93,551,9.367
94,551,9.367
95,551,9.367
96,551,9.367
97,550,9.350000000000001
98,551,9.367
99,551,9.367
100,551,9.367
