,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,57675,65432,64990,65399,65475,36,61088
1,57675,65441,64995,65400,65478,36,61087
2,57675,65439,64994,65400,65477,35,61090
3,57670,65431,64994,65401,65477,37,61088
4,57666,65423,64995,65401,65477,35,61088
5,57668,65439,64992,65401,65475,34,61088
6,57673,65431,65005,65399,65475,37,61087
7,57674,65430,64996,65400,65476,36,61086
8,57681,65429,64999,65399,65475,36,61084
9,57682,65433,65006,65401,65476,34,61084
10,57674,65440,64997,65399,65478,37,61087
11,57671,65440,64992,65400,65477,37,61087
12,57674,65429,64998,65399,65478,35,61084
13,57680,65438,64997,65400,65476,36,61087
14,57677,65428,65000,65399,65476,36,61086
15,57676,65436,64998,65399,65476,35,61082
16,57674,65434,64999,65400,65476,34,61085
17,57674,65431,64994,65400,65475,37,61086
18,57664,65439,65007,65399,65477,36,61086
19,57664,65434,64989,65399,65476,36,61085
20,57663,65429,65001,65401,65475,35,61082
21,57676,65440,64990,65399,65478,37,61081
22,57674,65430,64992,65400,65478,37,61083
23,57670,65432,64997,65400,65478,34,61081
24,57667,65433,65003,65400,65476,35,61083
25,57685,65431,64993,65400,65476,34,61080
26,57681,65433,65000,65399,65475,38,61083
27,57679,65439,64984,65400,65477,37,61084
28,57682,65434,64980,65399,65476,36,61085
29,57674,65435,64991,65400,65475,36,61080
30,57670,65437,64997,65398,65475,37,61080
31,57677,65429,64997,65399,65476,36,61074
32,57674,65433,64994,65400,65478,35,61078
33,57670,65436,64989,65399,65475,35,61079
34,57672,65429,65004,65400,65476,36,61082
35,57675,65433,65007,65401,65476,36,61087
36,57666,65436,65002,65399,65476,34,61083
37,57665,65432,64995,65400,65476,34,61083
38,57671,65436,64987,65401,65475,35,61082
39,57665,65429,64992,65400,65476,36,61086
40,57673,65432,64988,65400,65477,36,61085
41,57672,65428,64994,65400,65478,36,61081
42,57666,65434,65000,65401,65477,34,61082
43,57671,65429,65000,65401,65477,36,61081
44,57675,65439,64999,65400,65478,36,61080
45,57671,65442,65000,65400,65476,37,61080
46,57673,65440,64996,65400,65476,35,61081
47,57672,65441,65009,65400,65477,35,61079
48,57671,65439,64998,65400,65476,37,61081
49,57675,65437,64994,65400,65475,38,61082
50,57676,65428,64997,65400,65476,36,61080
51,57667,65429,64995,65400,65476,34,61076
52,57677,65428,64989,65400,65477,34,61077
53,57672,65432,64994,65400,65475,35,61077
54,57677,65428,65005,65400,65477,35,61081
55,57684,65433,65002,65399,65476,35,61078
56,57672,65433,65003,65400,65476,36,61079
57,57674,65439,64992,65399,65476,35,61077
58,57673,65424,64993,65400,65475,34,61078
59,57672,65431,65000,65400,65475,34,61078
60,57667,65425,65001,65399,65476,33,61081
61,57660,65425,64999,65400,65476,33,61079
62,57668,65434,65005,65400,65473,36,61080
63,57665,65431,65000,65400,65475,36,61079
64,57673,65430,64997,65399,65475,35,61076
65,57681,65432,65004,65400,65475,35,61077
66,57673,65432,65016,65400,65475,37,61077
67,57674,65427,65010,65400,65475,37,61074
68,57668,65431,65000,65399,65477,36,61076
69,57665,65429,64995,65400,65475,37,61076
70,57665,65421,65000,65399,65476,38,61080
71,57671,65433,64998,65399,65476,38,61081
72,57672,65431,65004,65398,65476,38,61080
73,57666,65426,64994,65399,65478,37,61078
74,57678,65435,65003,65400,65476,37,61076
75,57667,65434,65004,65400,65476,34,61079
76,57668,65432,64995,65399,65477,35,61077
77,57670,65438,65013,65399,65476,37,61077
78,57673,65435,65003,65400,65477,38,61077
79,57676,65430,65005,65400,65475,37,61080
80,57678,65429,65005,65400,65477,36,61080
81,57678,65427,65004,65399,65476,35,61078
82,57676,65430,64991,65399,65477,35,61078
83,57673,65436,64995,65400,65476,34,61075
84,57677,65426,65003,65398,65475,34,61079
85,57674,65434,65004,65399,65474,35,61076
86,57669,65434,65005,65400,65475,33,61076
87,57662,65436,65007,65400,65476,34,61075
88,57676,65431,64996,65400,65476,34,61077
89,57675,65436,64996,65400,65476,36,61076
90,57678,65430,64996,65400,65477,35,61074
91,57678,65437,65000,65400,65475,36,61078
92,57679,65432,65002,65400,65474,35,61078
93,57677,65440,64995,65400,65476,37,61080
94,57676,65437,64998,65400,65477,36,61080
95,57676,65429,65000,65399,65476,35,61078
96,57678,65434,64997,65400,65476,33,61077
97,57674,65428,65002,65399,65475,35,61075
98,57676,65436,65005,65399,65474,35,61076
99,57676,65427,65009,65400,65475,35,61076
100,57673,65428,64999,65399,65475,32,61073
101,57673,65427,65003,65400,65474,36,61075
102,57671,65433,64994,65399,65476,37,61074
103,57677,65436,64995,65400,65477,34,61078
104,57677,65435,65003,65399,65475,34,61077
105,57676,65438,64996,65400,65475,37,61075
106,57670,65431,64992,65400,65477,37,61075
107,57674,65440,64992,65399,65475,38,61074
108,57674,65426,64999,65399,65474,37,61073
109,57676,65435,65003,65400,65475,37,61074
110,57676,65434,64996,65400,65474,35,61070
111,57677,65428,65000,65400,65476,36,61073
112,57673,65434,65002,65399,65476,36,61076
113,57673,65429,64988,65400,65477,36,61077
114,57669,65429,64992,65400,65476,37,61074
115,57674,65435,64996,65400,65476,35,61074
116,57673,65430,64991,65400,65477,36,61075
117,57674,65426,64992,65399,65477,37,61073
118,57669,65430,65006,65399,65476,37,61073
119,57672,65434,65005,65398,65478,36,61074
120,57679,65437,64980,65398,65476,36,61069
121,57674,65441,65005,65398,65476,34,61075
122,57669,65434,64991,65398,65478,36,61073
123,57667,65423,64988,65400,65476,36,61074
124,57669,65437,64997,65398,65478,37,61073
125,57674,65433,65008,65400,65477,35,61068
126,57666,65427,64999,65399,65477,37,61074
127,57672,65432,64998,65399,65475,37,61074
128,57678,65424,64999,65399,65477,35,61073
129,57671,65426,64996,65399,65476,36,61070
130,57672,65440,64997,65399,65477,36,61069
131,57673,65432,65003,65399,65477,36,61069
132,57678,65433,64991,65398,65475,37,61072
133,57679,65427,64990,65399,65478,36,61070
134,57676,65431,64994,65399,65476,38,61069
135,57673,65434,65004,65399,65477,37,61067
136,57679,65432,65001,65399,65477,36,61071
137,57673,65431,64992,65401,65476,35,61071
138,57683,65437,65005,65399,65477,34,61071
139,57671,65429,64991,65401,65478,36,61070
140,57676,65435,64989,65400,65475,38,61071
141,57677,65432,65000,65399,65474,34,61153
142,57684,65435,64997,65400,65477,35,61154
143,57675,65426,64997,65400,65478,37,61153
144,57676,65428,64988,65400,65479,34,61154
145,57671,65433,65002,65400,65477,36,61153
146,57676,65433,65003,65401,65476,36,61153
147,57679,65431,65002,65400,65476,35,61154
148,57672,65432,65014,65400,65476,37,61155
149,57671,65439,65006,65399,65477,34,61152
150,57669,65431,64987,65401,65478,36,61153
151,57672,65435,64991,65399,65476,37,61151
152,57670,65438,64994,65400,65475,37,61152
153,57674,65436,64991,65398,65476,37,61154
154,57671,65434,64995,65399,65477,34,61153
155,57675,65441,65004,65399,65476,33,61151
156,57676,65433,64997,65400,65478,35,61151
157,57676,65439,65007,65401,65478,36,61148
158,57675,65436,65007,65401,65476,35,61152
159,57673,65434,64996,65400,65476,37,61150
160,57672,65435,65006,65400,65475,38,61152
161,57669,65430,65001,65399,65475,36,61150
162,57669,65429,64996,65400,65475,36,61153
163,57666,65432,65000,65401,65475,34,61154
164,57679,65424,65000,65400,65474,37,61150
165,57671,65434,64993,65399,65475,38,61150
166,57677,65429,65000,65401,65476,36,61149
167,57678,65430,64997,65400,65475,36,61149
168,57679,65432,64994,65400,65474,36,61150
169,57673,65435,64996,65400,65476,36,61149
170,57679,65435,65002,65398,65478,37,61148
171,57680,65434,65012,65399,65478,35,61148
172,57676,65425,65006,65400,65477,35,61149
173,57676,65432,65003,65399,65477,36,61149
174,57674,65433,64991,65399,65476,38,61151
175,57680,65431,64992,65401,65476,37,61149
176,57676,65433,64999,65401,65477,37,61157
177,57679,65430,64990,65401,65477,36,61155
178,57667,65430,64995,65400,65475,38,61154
179,57676,65435,65003,65399,65475,37,61152
180,57682,65436,64996,65399,65477,36,61151
181,57679,65437,65000,65399,65475,34,61151
182,57676,65431,65000,65400,65476,36,61151
183,57674,65429,64996,65399,65476,36,61149
184,57676,65432,64989,65399,65476,39,61152
185,57676,65430,64990,65399,65476,37,61150
186,57671,65426,64996,65401,65477,36,61152
187,57676,65429,64998,65400,65476,38,61151
