,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,61604,65486,65273,65265,65418,64,60998
1,61603,65486,65269,65265,65419,67,60999
2,61602,65486,65268,65264,65418,68,60998
3,61602,65488,65268,65265,65417,69,60996
4,61606,65482,65272,65262,65417,71,60993
5,61607,65483,65272,65262,65416,71,60995
6,61608,65485,65273,65262,65413,72,60997
7,61606,65483,65268,65263,65415,75,60995
8,61612,65485,65272,65264,65419,72,60997
9,61608,65480,65280,65262,65420,67,60998
10,61603,65480,65274,65263,65417,77,61001
11,61607,65483,65271,65264,65412,77,60999
12,61604,65481,65267,65265,65414,75,61002
13,61600,65488,65274,65266,65410,70,60997
14,61606,65479,65269,65263,65417,72,61002
15,61599,65478,65269,65266,65411,75,61004
16,61604,65483,65275,65266,65415,69,61003
17,61604,65479,65272,65265,65414,73,61000
18,61606,65480,65283,65266,65415,76,61001
19,61601,65486,65274,65263,65412,70,61000
20,61602,65482,65278,65263,65413,71,61004
21,61602,65480,65272,65264,65420,73,61002
22,61604,65482,65269,65263,65416,73,61006
23,61608,65483,65270,65262,65412,69,61003
24,61607,65482,65270,65267,65415,75,61003
25,61601,65480,65274,65264,65413,73,61005
26,61604,65478,65271,65263,65412,77,61003
27,61602,65484,65277,65265,65412,68,61004
28,61602,65481,65274,65266,65417,69,61004
29,61610,65481,65276,65262,65416,76,61004
30,61603,65480,65275,65265,65418,75,61007
31,61608,65478,65262,65261,65417,75,61005
32,61610,65486,65278,65265,65413,74,61008
33,61605,65481,65268,65268,65414,69,61006
34,61602,65484,65265,65269,65415,70,61006
35,61605,65491,65278,65264,65414,72,61005
36,61602,65485,65273,65266,65418,72,61004
37,61601,65485,65273,65263,65417,77,61006
38,61607,65489,65274,65263,65414,69,61006
39,61603,65484,65271,65261,65416,72,61007
40,61604,65487,65268,65265,65413,68,61006
41,61600,65485,65280,65263,65417,73,61006
42,61603,65484,65275,65265,65414,68,61006
43,61602,65483,65267,65266,65419,64,61004
44,61603,65486,65274,65265,65413,69,61009
45,61601,65482,65281,65261,65417,69,61005
46,61604,65481,65278,65265,65420,68,61000
47,61606,65486,65268,65265,65410,66,61002
48,61607,65488,65267,65264,65413,70,61005
49,61607,65486,65276,65267,65413,77,61008
50,61607,65479,65268,65260,65415,67,61009
51,61606,65486,65271,65265,65417,69,61004
52,61607,65481,65271,65265,65415,71,61006
53,61605,65481,65272,65263,65412,73,61004
54,61602,65484,65272,65266,65409,71,61005
55,61606,65490,65271,65262,65414,69,61003
56,61604,65485,65277,65262,65417,75,61007
57,61603,65483,65276,65266,65420,69,61006
58,61607,65483,65266,65266,65417,73,61007
59,61603,65479,65268,65263,65413,73,61009
60,61608,65491,65273,65263,65415,77,61011
61,61606,65487,65277,65262,65415,75,61013
62,61606,65479,65273,65266,65415,66,61007
63,61609,65484,65269,65264,65416,73,61004
64,61607,65481,65273,65263,65415,74,61003
65,61601,65479,65269,65261,65412,74,61005
66,61603,65484,65264,65265,65415,69,61002
67,61607,65481,65269,65262,65415,70,61009
68,61600,65482,65263,65267,65416,76,61003
69,61603,65482,65268,65263,65419,67,61008
70,61608,65483,65272,65265,65420,74,61006
71,61601,65488,65277,65263,65414,68,61005
72,61602,65482,65276,65265,65415,76,61007
73,61606,65482,65277,65264,65412,73,61007
74,61604,65481,65267,65267,65412,70,61013
75,61607,65482,65277,65262,65415,73,61006
76,61607,65484,65275,65265,65412,71,61009
77,61605,65481,65276,65265,65415,72,61003
78,61603,65486,65266,65263,65420,76,61002
79,61609,65486,65277,65266,65411,74,61005
80,61603,65482,65268,65268,65418,70,61008
81,61612,65482,65275,65267,65413,74,61001
82,61605,65483,65275,65263,65413,71,61004
83,61599,65477,65270,65261,65413,70,61005
84,61603,65482,65273,65262,65412,71,61007
85,61605,65479,65266,65261,65415,72,61006
86,61601,65481,65273,65265,65412,78,61008
87,61602,65483,65280,65266,65413,69,61006
88,61606,65479,65275,65267,65415,70,61005
89,61609,65488,65270,65262,65417,66,61004
90,61607,65483,65276,65268,65422,72,61002
91,61608,65487,65268,65265,65415,73,61007
92,61603,65488,65275,65264,65415,73,61005
93,61601,65487,65267,65264,65412,72,61002
94,61605,65485,65270,65263,65414,70,61000
95,61603,65481,65278,65266,65417,68,61009
96,61600,65483,65275,65262,65418,68,61004
97,61604,65479,65276,65262,65414,74,61007
98,61603,65479,65272,65264,65417,71,61007
99,61607,65484,65273,65265,65414,72,61003
