,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8704,-4,-972,-4364,24,-174,-77,69
1,8704,-2,-978,-4365,24,-174,-77,68
2,8702,1,-981,-4366,24,-174,-77,68
3,8703,-6,-982,-4365,24,-174,-76,68
4,8708,-1,-981,-4367,24,-175,-76,70
5,8702,-1,-976,-4366,24,-175,-77,69
6,8705,-6,-974,-4367,24,-173,-77,69
7,8703,-9,-982,-4367,24,-173,-78,70
8,8702,-7,-971,-4367,24,-173,-78,69
9,8704,-3,-971,-4367,24,-173,-78,69
10,8698,-1,-969,-4367,24,-174,-78,69
11,8697,3,-964,-4368,24,-174,-77,69
12,8697,1,-958,-4368,24,-174,-78,69
13,8694,-3,-965,-4369,24,-175,-78,69
14,8697,-4,-963,-4371,24,-175,-78,70
15,8698,-6,-965,-4370,24,-174,-77,69
16,8699,-6,-968,-4370,24,-175,-79,70
17,8698,-7,-974,-4369,24,-174,-79,70
18,8699,-1,-979,-4367,24,-174,-78,70
19,8700,-3,-982,-4366,24,-173,-78,70
20,8705,-4,-981,-4367,24,-173,-77,72
21,8710,-3,-985,-4367,24,-173,-78,70
22,8710,-5,-980,-4367,24,-173,-78,70
23,8712,-3,-973,-4366,24,-173,-78,70
24,8709,-6,-973,-4364,24,-173,-77,70
25,8716,-7,-970,-4365,24,-173,-76,70
26,8710,-3,-969,-4367,24,-173,-76,69
27,8709,-1,-972,-4369,24,-174,-77,70
28,8711,1,-966,-4367,24,-175,-77,70
29,8707,4,-970,-4368,24,-174,-77,69
30,8706,4,-968,-4369,24,-174,-76,69
31,8703,1,-965,-4370,24,-174,-76,70
32,8703,-2,-964,-4371,24,-174,-77,69
33,8700,-4,-959,-4372,24,-174,-79,70
34,8700,-3,-965,-4372,24,-172,-78,70
35,8699,-1,-967,-4372,24,-173,-78,71
36,8697,1,-963,-4372,24,-172,-77,70
37,8701,-4,-965,-4371,24,-172,-77,70
38,8700,-3,-965,-4369,24,-172,-78,70
39,8703,-6,-962,-4369,24,-173,-78,70
40,8702,-5,-953,-4370,24,-174,-80,71
41,8707,0,-961,-4370,24,-173,-80,70
42,8706,-6,-964,-4371,24,-174,-81,70
43,8704,-7,-971,-4372,24,-174,-80,70
44,8708,-6,-969,-4369,24,-174,-79,71
45,8707,-13,-967,-4370,24,-172,-80,71
46,8709,-9,-960,-4370,24,-172,-78,70
47,8708,-6,-962,-4372,24,-170,-79,70
48,8708,-2,-960,-4371,24,-171,-78,70
49,8705,-1,-965,-4371,24,-171,-78,71
50,8707,-5,-960,-4372,24,-173,-78,70
51,8710,-6,-963,-4372,24,-173,-78,69
52,8706,2,-964,-4371,24,-174,-78,70
53,8701,3,-970,-4371,24,-173,-78,70
54,8707,9,-977,-4372,24,-175,-77,71
55,8707,6,-964,-4372,24,-174,-78,70
56,8708,5,-969,-4373,24,-174,-79,70
57,8710,1,-973,-4373,24,-174,-78,70
58,8708,3,-972,-4373,24,-174,-77,70
59,8711,0,-971,-4371,24,-174,-76,69
60,8708,-2,-971,-4371,24,-174,-75,69
61,8707,1,-973,-4369,24,-172,-77,69
62,8706,3,-971,-4368,24,-173,-76,68
63,8706,3,-971,-4368,24,-172,-77,69
64,8708,-1,-968,-4368,24,-172,-77,69
65,8704,0,-976,-4367,24,-172,-77,68
66,8708,-2,-980,-4368,24,-172,-77,69
67,8707,-3,-976,-4367,24,-174,-78,70
68,8703,0,-977,-4365,24,-174,-77,71
69,8709,0,-970,-4367,24,-174,-77,71
70,8703,2,-972,-4366,24,-174,-78,72
71,8701,2,-973,-4368,24,-173,-76,72
72,8702,2,-970,-4369,24,-173,-77,71
73,8700,-6,-971,-4369,24,-173,-77,71
74,8699,-1,-971,-4369,24,-173,-77,71
75,8705,2,-970,-4368,24,-174,-77,72
76,8709,4,-972,-4368,24,-173,-77,71
77,8711,3,-972,-4367,24,-174,-78,72
78,8710,0,-980,-4367,24,-173,-78,70
79,8710,-4,-975,-4368,24,-173,-77,70
80,8708,-5,-974,-4367,24,-174,-77,70
81,8711,-6,-967,-4365,24,-173,-78,71
82,8709,-8,-966,-4366,24,-172,-78,71
83,8701,-9,-972,-4365,24,-172,-77,69
84,8703,-11,-977,-4367,24,-173,-77,69
85,8703,-12,-975,-4367,24,-174,-78,69
86,8699,-8,-983,-4367,24,-173,-79,70
87,8702,-9,-980,-4368,24,-173,-79,70
88,8702,-8,-985,-4368,24,-173,-79,70
89,8703,-10,-978,-4370,24,-173,-79,70
90,8703,-10,-972,-4371,24,-173,-80,69
91,8707,-5,-965,-4371,24,-174,-80,69
92,8708,-8,-971,-4370,24,-174,-79,70
93,8702,-6,-976,-4369,24,-174,-80,71
94,8700,-7,-978,-4368,24,-174,-80,70
95,8700,-10,-971,-4368,24,-174,-79,70
96,8698,-9,-967,-4368,24,-173,-79,70
97,8697,-8,-964,-4369,24,-173,-79,71
98,8700,-5,-964,-4370,24,-174,-78,70
99,8697,-4,-966,-4370,24,-173,-78,70
100,8702,-6,-975,-4369,24,-173,-78,69
101,8705,-4,-981,-4368,24,-172,-78,70
102,8708,-1,-974,-4368,24,-173,-77,70
103,8701,2,-967,-4368,24,-173,-78,69
104,8701,0,-977,-4369,24,-174,-78,70
105,8702,-2,-975,-4369,24,-174,-78,69
106,8705,-3,-970,-4367,24,-174,-77,71
107,8707,-5,-971,-4369,24,-174,-77,69
108,8710,-6,-978,-4369,24,-174,-76,69
109,8711,-9,-973,-4368,24,-174,-77,70
110,8708,-11,-981,-4369,24,-175,-77,70
111,8707,-12,-983,-4369,24,-174,-77,71
112,8708,-12,-974,-4368,24,-175,-78,70
113,8708,-9,-975,-4371,24,-173,-78,70
114,8710,-5,-981,-4370,24,-172,-77,70
115,8702,-5,-979,-4370,24,-172,-77,71
116,8703,-4,-982,-4371,24,-172,-77,70
117,8696,-7,-981,-4369,24,-172,-77,70
118,8697,-6,-970,-4370,24,-171,-77,70
119,8700,-6,-969,-4369,24,-172,-78,70
120,8700,-7,-972,-4369,24,-171,-78,70
121,8707,-6,-980,-4369,24,-171,-77,70
122,8705,-8,-978,-4368,24,-172,-77,71
123,8704,-5,-971,-4368,24,-171,-76,71
124,8704,-1,-974,-4366,24,-171,-75,70
125,8702,1,-974,-4367,24,-171,-76,70
126,8704,-4,-968,-4367,24,-172,-76,70
127,8704,-2,-967,-4370,24,-172,-76,71
128,8707,-7,-975,-4371,24,-172,-76,71
129,8707,-5,-979,-4369,24,-171,-74,70
130,8709,-7,-974,-4369,24,-172,-75,69
131,8704,-6,-975,-4369,24,-172,-76,68
132,8702,-6,-973,-4368,24,-172,-76,69
133,8704,-9,-976,-4368,24,-173,-77,69
134,8706,-7,-980,-4366,24,-173,-77,69
135,8706,-5,-979,-4367,24,-173,-77,69
136,8708,1,-987,-4368,24,-174,-77,70
137,8705,-6,-978,-4366,24,-173,-78,70
138,8710,-5,-978,-4367,24,-173,-77,71
139,8709,-9,-978,-4368,24,-174,-77,70
140,8707,-10,-973,-4366,24,-172,-76,70
141,8705,-12,-970,-4367,24,-172,-76,70
142,8706,-12,-978,-4367,24,-172,-76,71
143,8709,-14,-974,-4368,24,-173,-76,69
144,8714,-15,-977,-4370,24,-172,-76,69
145,8712,-12,-977,-4370,24,-172,-77,69
146,8713,-7,-981,-4372,24,-172,-76,69
147,8709,-7,-975,-4370,24,-173,-76,70
148,8707,-3,-973,-4370,24,-173,-77,69
149,8708,-3,-970,-4368,24,-173,-77,68
150,8706,-2,-961,-4368,24,-172,-78,69
151,8707,1,-959,-4368,24,-171,-78,69
152,8709,-4,-960,-4368,24,-172,-78,69
153,8710,-4,-967,-4370,24,-172,-78,70
154,8709,-6,-966,-4371,24,-173,-78,71
155,8706,-4,-968,-4371,24,-173,-78,70
156,8699,-10,-960,-4370,24,-172,-77,70
157,8700,-12,-957,-4368,24,-173,-77,69
158,8704,-7,-957,-4367,24,-172,-78,70
159,8702,-7,-958,-4368,24,-173,-78,70
160,8704,-7,-962,-4368,24,-173,-77,70
161,8703,-9,-968,-4368,24,-173,-76,69
162,8702,-8,-966,-4367,24,-173,-78,69
163,8704,-5,-969,-4367,24,-173,-78,68
164,8711,-4,-972,-4368,24,-173,-77,69
165,8708,-7,-970,-4368,24,-173,-78,68
166,8708,-6,-968,-4370,24,-173,-77,69
167,8710,-5,-965,-4371,24,-173,-78,70
168,8706,1,-968,-4369,24,-172,-78,69
169,8704,5,-966,-4370,24,-171,-78,69
170,8701,8,-965,-4369,24,-172,-78,67
171,8696,9,-970,-4369,24,-173,-78,69
172,8697,5,-973,-4369,24,-173,-78,70
173,8703,-1,-972,-4369,24,-174,-78,70
174,8698,-1,-970,-4369,24,-174,-78,70
175,8703,0,-971,-4369,24,-173,-78,70
176,8701,4,-967,-4369,24,-172,-79,70
177,8699,1,-965,-4369,24,-172,-78,70
178,8702,-1,-971,-4370,24,-173,-77,69
179,8708,-2,-976,-4369,24,-173,-78,69
180,8705,-1,-974,-4368,24,-172,-77,70
181,8705,-1,-981,-4371,24,-172,-76,70
182,8701,-5,-977,-4370,24,-172,-77,71
183,8702,-4,-978,-4370,24,-172,-75,71
184,8702,-2,-980,-4370,24,-173,-75,71
185,8706,-4,-973,-4371,24,-174,-76,71
186,8704,-2,-975,-4372,24,-175,-76,70
187,8700,-2,-978,-4372,24,-176,-76,71
188,8704,-5,-979,-4371,24,-175,-77,71
189,8703,-4,-984,-4370,24,-175,-78,71
190,8701,-3,-977,-4372,24,-175,-77,72
191,8700,-3,-979,-4373,24,-175,-78,72
192,8702,-3,-983,-4372,24,-175,-77,71
193,8700,-4,-975,-4371,24,-175,-76,70
194,8694,1,-971,-4371,24,-175,-77,71
195,8695,-3,-972,-4370,24,-175,-76,70
196,8700,-1,-965,-4370,24,-175,-77,70
197,8707,3,-970,-4369,24,-175,-77,71
198,8709,0,-967,-4368,24,-174,-76,69
199,8707,2,-971,-4368,24,-175,-76,69
200,8707,2,-971,-4367,24,-174,-77,68
201,8709,0,-971,-4366,24,-174,-76,69
202,8704,-3,-971,-4368,24,-174,-77,70
203,8709,-3,-972,-4368,24,-174,-78,69
204,8705,0,-973,-4368,24,-173,-78,70
205,8707,2,-979,-4369,24,-173,-78,70
206,8702,0,-980,-4369,24,-173,-79,69
207,8702,-3,-973,-4368,24,-174,-79,69
208,8703,-5,-974,-4370,24,-175,-79,69
209,8703,-9,-974,-4370,24,-173,-80,69
210,8704,-8,-972,-4368,24,-173,-79,69
211,8705,-5,-977,-4368,24,-173,-79,68
212,8706,-5,-977,-4369,24,-172,-78,70
213,8708,-5,-970,-4369,24,-172,-78,69
214,8706,-10,-980,-4368,24,-172,-78,70
215,8703,-3,-979,-4367,24,-174,-77,70
216,8703,3,-975,-4367,24,-173,-77,70
217,8701,3,-982,-4368,24,-173,-78,70
218,8703,1,-986,-4367,24,-174,-78,71
219,8700,-1,-990,-4366,24,-174,-78,71
220,8696,-1,-989,-4367,24,-173,-78,71
221,8697,-3,-989,-4368,24,-174,-77,70
222,8700,-5,-983,-4368,24,-175,-77,70
223,8701,-9,-982,-4367,24,-175,-76,70
224,8702,-6,-979,-4366,24,-176,-78,71
225,8700,-5,-980,-4368,24,-174,-78,69
226,8701,-4,-980,-4369,24,-173,-78,70
227,8703,-3,-980,-4370,24,-173,-77,70
228,8698,-3,-981,-4370,24,-175,-77,69
229,8697,-3,-983,-4370,24,-173,-78,70
230,8699,-6,-976,-4371,24,-174,-79,70
231,8696,-7,-972,-4370,24,-173,-79,71
232,8702,-3,-973,-4368,24,-172,-78,71
233,8701,-3,-974,-4368,24,-173,-78,71
234,8703,0,-980,-4368,24,-173,-77,71
235,8699,0,-980,-4370,24,-172,-77,71
236,8704,2,-974,-4368,24,-173,-77,70
237,8704,5,-971,-4369,24,-172,-78,70
238,8704,7,-970,-4369,24,-171,-79,70
239,8708,3,-964,-4368,24,-172,-79,70
240,8701,1,-963,-4368,24,-172,-78,70
241,8696,-2,-973,-4368,24,-172,-77,71
242,8698,-5,-977,-4369,24,-172,-77,70
243,8698,-4,-976,-4370,24,-173,-78,69
244,8702,1,-973,-4370,24,-172,-78,70
245,8702,-4,-972,-4370,24,-173,-77,70
246,8701,-6,-973,-4370,24,-174,-78,70
247,8703,-7,-969,-4368,24,-173,-78,70
248,8699,-2,-974,-4369,24,-174,-77,69
249,8705,-1,-967,-4369,24,-174,-77,69
250,8707,-1,-970,-4370,24,-173,-77,69
251,8705,-3,-971,-4368,24,-173,-77,70
252,8703,0,-971,-4366,24,-173,-78,70
253,8704,0,-967,-4366,24,-174,-79,69
254,8705,-5,-970,-4368,24,-173,-79,69
255,8710,-11,-967,-4366,24,-173,-78,69
256,8705,-14,-962,-4365,24,-173,-78,70
257,8707,-8,-962,-4366,24,-173,-78,70
258,8707,0,-961,-4366,24,-172,-78,69
259,8709,3,-963,-4366,24,-174,-77,70
260,8711,5,-970,-4366,24,-174,-78,71
261,8710,7,-964,-4366,24,-173,-79,71
262,8707,-2,-964,-4368,24,-173,-77,71
263,8703,2,-969,-4370,24,-173,-77,71
264,8700,1,-969,-4372,24,-173,-77,71
265,8702,4,-975,-4371,24,-173,-77,71
266,8705,1,-974,-4369,24,-174,-78,71
267,8704,-3,-965,-4369,24,-173,-77,71
268,8707,-3,-969,-4369,24,-172,-76,71
269,8707,-7,-964,-4369,24,-172,-77,71
270,8710,-1,-965,-4369,24,-173,-77,69
271,8712,-4,-957,-4370,24,-172,-78,69
272,8710,-3,-956,-4370,24,-173,-77,69
273,8709,-7,-961,-4370,24,-174,-77,70
274,8708,-4,-965,-4369,24,-173,-77,69
275,8709,-2,-965,-4368,24,-174,-77,69
276,8706,-2,-967,-4367,24,-173,-77,69
277,8710,-3,-971,-4368,24,-174,-76,70
278,8712,-5,-971,-4367,24,-174,-77,70
279,8709,-2,-976,-4369,24,-174,-77,70
280,8706,-7,-979,-4368,24,-174,-77,69
281,8703,-4,-980,-4367,24,-175,-78,69
282,8708,-3,-981,-4369,24,-176,-77,69
283,8710,-5,-984,-4368,24,-175,-78,69
284,8710,-3,-976,-4369,24,-175,-77,69
285,8707,-1,-974,-4369,24,-175,-77,69
286,8702,-5,-977,-4371,24,-174,-78,70
287,8704,-3,-971,-4372,24,-174,-79,70
288,8701,-9,-968,-4371,24,-174,-78,70
289,8703,-3,-967,-4372,24,-174,-78,71
290,8699,-4,-971,-4372,24,-174,-76,71
291,8698,-6,-969,-4371,24,-174,-77,71
292,8694,-5,-968,-4372,24,-174,-77,70
293,8691,-8,-965,-4372,24,-174,-78,71
294,8698,-5,-969,-4372,24,-173,-77,70
295,8706,-6,-970,-4372,24,-173,-76,69
296,8707,-7,-963,-4371,24,-174,-77,70
297,8703,-13,-960,-4372,24,-174,-78,71
298,8697,-4,-963,-4371,24,-173,-77,71
299,8697,-3,-962,-4370,24,-172,-78,69
300,8698,-1,-967,-4371,24,-171,-78,69
301,8699,1,-969,-4371,24,-172,-79,70
302,8699,1,-968,-4369,24,-173,-78,70
303,8699,-3,-965,-4370,24,-174,-78,70
304,8696,-1,-974,-4371,24,-175,-77,69
305,8694,-1,-976,-4371,24,-175,-79,70
306,8696,-5,-984,-4371,24,-174,-78,70
307,8699,-8,-982,-4372,24,-176,-78,71
308,8700,-5,-984,-4372,24,-175,-78,71
309,8702,-1,-985,-4370,24,-174,-77,71
310,8701,-3,-984,-4370,24,-174,-77,70
311,8702,-5,-986,-4370,24,-172,-78,71
312,8703,-1,-978,-4369,24,-172,-79,70
313,8709,-6,-981,-4370,24,-171,-78,71
314,8709,-7,-982,-4369,24,-171,-78,70
315,8706,-2,-975,-4369,24,-171,-77,71
316,8708,-4,-981,-4369,24,-171,-78,71
317,8707,2,-979,-4370,24,-172,-77,71
318,8706,-3,-981,-4370,24,-171,-78,70
319,8708,-5,-979,-4371,24,-172,-77,69
320,8709,-7,-980,-4371,24,-172,-77,69
321,8709,-7,-976,-4372,24,-172,-76,69
322,8712,-6,-972,-4371,24,-172,-76,69
323,8713,-6,-965,-4370,24,-172,-76,68
324,8713,-7,-970,-4369,24,-172,-76,69
325,8710,-7,-972,-4367,24,-172,-77,69
326,8706,-8,-968,-4368,24,-172,-77,68
327,8701,-5,-972,-4371,24,-172,-77,69
328,8707,-2,-968,-4370,24,-172,-77,70
329,8706,-4,-971,-4370,24,-172,-78,70
330,8710,-8,-974,-4370,24,-172,-78,70
331,8709,-9,-972,-4370,24,-172,-79,69
332,8704,-3,-965,-4369,24,-172,-79,69
333,8706,-2,-967,-4371,24,-172,-78,69
334,8709,-1,-972,-4372,24,-173,-77,69
335,8706,2,-979,-4372,24,-173,-76,69
336,8705,-1,-978,-4371,24,-173,-77,69
337,8708,-3,-979,-4372,24,-173,-78,69
338,8705,3,-973,-4372,24,-173,-77,69
339,8705,2,-975,-4372,24,-173,-77,71
340,8705,0,-973,-4372,24,-173,-76,70
341,8702,-1,-972,-4371,24,-173,-77,70
342,8703,0,-980,-4371,24,-173,-78,69
343,8707,-5,-977,-4369,24,-174,-77,69
344,8708,-4,-981,-4369,24,-174,-77,69
345,8708,-3,-982,-4367,24,-174,-79,69
346,8708,-7,-983,-4368,24,-173,-79,69
347,8713,-6,-975,-4369,24,-173,-79,71
348,8709,0,-974,-4368,24,-172,-78,71
349,8708,-4,-974,-4369,24,-172,-78,71
350,8707,0,-977,-4369,24,-171,-78,72
351,8705,0,-971,-4369,24,-172,-79,72
352,8705,-2,-971,-4371,24,-172,-78,71
353,8703,0,-972,-4372,24,-173,-79,70
354,8699,0,-969,-4371,24,-173,-78,70
355,8698,-2,-972,-4371,24,-173,-78,70
356,8696,-6,-973,-4372,24,-174,-78,70
357,8697,-11,-968,-4371,24,-174,-78,72
358,8700,-8,-965,-4371,24,-173,-77,71
359,8700,-6,-957,-4369,24,-173,-78,71
360,8702,-4,-960,-4367,24,-173,-77,71
361,8707,-3,-967,-4368,24,-175,-78,70
362,8711,0,-964,-4367,24,-174,-77,71
363,8709,0,-964,-4368,24,-173,-78,71
364,8711,-3,-968,-4368,24,-173,-77,70
365,8710,-3,-969,-4370,24,-173,-77,71
366,8707,-3,-970,-4370,24,-174,-77,71
367,8704,-4,-968,-4369,24,-174,-78,70
368,8703,-2,-967,-4370,24,-173,-77,70
369,8701,-1,-969,-4370,24,-173,-77,70
370,8698,0,-968,-4370,24,-173,-78,70
371,8702,1,-965,-4370,24,-172,-78,71
