,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8702,1,-965,-4575,23,-172,-76,70
1,8699,-3,-966,-4575,23,-171,-77,69
2,8702,-10,-968,-4574,23,-172,-77,70
3,8705,-14,-964,-4574,23,-171,-76,70
4,8701,-11,-964,-4574,23,-172,-75,70
5,8700,-11,-970,-4575,23,-172,-75,70
6,8700,-11,-963,-4574,23,-172,-75,70
7,8700,-8,-962,-4574,23,-172,-76,70
8,8699,-7,-961,-4573,23,-172,-77,70
9,8701,-5,-969,-4573,23,-171,-76,70
10,8697,1,-971,-4572,23,-172,-76,71
11,8699,2,-965,-4573,23,-172,-77,71
12,8706,-1,-965,-4573,23,-172,-76,71
13,8707,-1,-965,-4573,23,-173,-75,72
14,8709,-3,-967,-4573,23,-174,-75,71
15,8711,1,-964,-4572,23,-174,-75,72
16,8710,-6,-963,-4571,23,-174,-76,71
17,8710,-2,-959,-4572,23,-173,-77,71
18,8702,-6,-961,-4573,23,-172,-76,71
19,8702,-7,-972,-4573,23,-172,-77,71
20,8703,-8,-978,-4575,23,-171,-76,70
21,8704,-6,-974,-4577,23,-172,-77,71
22,8700,-9,-971,-4577,23,-172,-78,71
23,8700,-7,-965,-4576,23,-172,-77,72
24,8706,-2,-962,-4574,23,-172,-79,70
25,8709,4,-964,-4573,23,-173,-78,71
26,8708,2,-966,-4574,23,-172,-78,71
27,8706,-1,-959,-4573,23,-173,-78,71
28,8703,-3,-960,-4572,23,-173,-79,71
29,8708,0,-963,-4573,23,-174,-78,71
30,8704,2,-963,-4574,23,-173,-77,70
31,8708,4,-968,-4574,23,-173,-78,70
32,8706,3,-967,-4574,23,-173,-78,70
33,8708,-4,-969,-4575,23,-174,-78,70
34,8708,-5,-972,-4575,23,-174,-77,71
35,8710,-9,-970,-4574,23,-173,-77,69
36,8711,-9,-975,-4575,23,-173,-76,68
37,8713,-6,-977,-4573,23,-173,-76,69
38,8711,-4,-976,-4573,23,-173,-76,69
39,8709,-4,-971,-4571,23,-173,-76,70
40,8709,-4,-964,-4572,23,-173,-77,70
41,8709,-1,-956,-4573,23,-173,-76,71
42,8707,-4,-949,-4575,23,-173,-77,71
43,8706,-2,-945,-4576,23,-173,-77,71
44,8705,0,-945,-4576,23,-172,-77,71
45,8705,-5,-941,-4576,23,-172,-76,71
46,8707,-5,-944,-4575,23,-172,-76,70
47,8708,-7,-947,-4573,23,-172,-75,71
48,8709,-13,-943,-4575,23,-172,-75,70
49,8708,-12,-945,-4575,23,-173,-77,70
50,8707,-9,-946,-4575,23,-172,-77,70
51,8706,-11,-947,-4574,23,-173,-79,69
52,8706,-12,-951,-4574,23,-173,-79,69
53,8708,-12,-955,-4572,23,-173,-79,69
54,8708,-7,-958,-4573,23,-172,-79,69
55,8705,-4,-963,-4572,23,-172,-78,68
56,8706,-2,-962,-4574,23,-172,-78,68
57,8705,-1,-967,-4575,23,-173,-78,68
58,8706,-3,-968,-4575,23,-173,-79,68
59,8700,-3,-974,-4575,23,-172,-78,69
60,8705,-2,-971,-4574,23,-173,-79,70
61,8705,2,-970,-4574,23,-174,-79,70
62,8703,8,-967,-4573,23,-173,-78,69
63,8702,7,-963,-4572,23,-174,-77,69
64,8704,0,-957,-4572,23,-174,-77,71
65,8703,-6,-959,-4574,23,-173,-78,71
66,8701,-10,-958,-4574,23,-172,-78,71
67,8699,-12,-957,-4574,23,-172,-79,71
68,8700,-9,-956,-4575,23,-174,-78,71
69,8699,-7,-961,-4575,23,-174,-77,71
70,8700,0,-962,-4576,23,-173,-78,72
71,8703,-3,-964,-4574,23,-173,-77,72
72,8700,-5,-963,-4574,23,-173,-77,72
73,8697,-7,-965,-4573,23,-173,-76,71
74,8698,-10,-965,-4572,23,-173,-77,71
75,8698,-4,-966,-4573,23,-172,-77,71
76,8701,-5,-962,-4573,23,-174,-76,71
77,8703,-6,-965,-4574,23,-173,-76,71
78,8706,-5,-965,-4573,23,-173,-77,71
79,8705,-7,-969,-4573,23,-173,-77,71
80,8701,-6,-967,-4573,23,-174,-76,72
81,8705,0,-964,-4572,23,-174,-76,72
82,8701,-4,-963,-4572,23,-174,-76,71
83,8699,-1,-959,-4572,23,-173,-76,72
84,8698,4,-958,-4571,23,-173,-77,71
85,8692,8,-953,-4572,23,-174,-76,70
86,8697,10,-956,-4573,23,-173,-77,69
87,8702,6,-962,-4574,23,-172,-78,69
88,8700,7,-959,-4574,23,-172,-78,69
89,8702,1,-951,-4572,23,-172,-79,69
90,8702,1,-957,-4572,23,-172,-78,69
91,8704,1,-961,-4574,23,-173,-78,69
92,8704,-2,-956,-4573,23,-173,-79,69
93,8697,6,-953,-4573,23,-172,-79,70
94,8699,4,-954,-4572,23,-171,-78,70
95,8694,5,-957,-4574,23,-172,-76,70
96,8695,1,-959,-4574,23,-172,-77,70
97,8696,0,-956,-4574,23,-171,-78,70
98,8702,-6,-954,-4574,23,-172,-78,71
99,8707,-5,-952,-4574,23,-171,-78,71
100,8707,-4,-952,-4573,23,-171,-78,72
101,8709,-1,-960,-4573,23,-172,-79,72
102,8713,-3,-964,-4574,23,-172,-78,71
103,8709,-3,-960,-4573,23,-173,-79,71
104,8710,-5,-960,-4574,23,-173,-79,71
105,8707,-4,-970,-4576,23,-173,-79,72
106,8703,-6,-957,-4575,23,-174,-79,70
107,8703,-7,-958,-4575,23,-173,-79,69
108,8698,-4,-960,-4573,23,-173,-79,69
109,8698,-1,-951,-4571,23,-173,-80,70
110,8703,-2,-949,-4572,23,-172,-80,70
111,8705,-3,-959,-4574,23,-172,-80,69
112,8705,-4,-962,-4573,23,-172,-80,70
113,8707,-4,-968,-4574,23,-172,-79,71
114,8707,-3,-964,-4573,23,-172,-79,71
115,8713,-7,-964,-4573,23,-172,-78,71
116,8712,-1,-959,-4573,23,-172,-77,70
117,8709,-1,-949,-4572,23,-172,-77,69
118,8711,-4,-947,-4573,23,-172,-77,71
119,8708,-5,-948,-4572,23,-171,-77,71
120,8710,-3,-947,-4573,23,-172,-77,71
121,8713,-5,-951,-4572,23,-172,-77,71
122,8716,-5,-956,-4573,23,-172,-78,71
123,8711,-5,-953,-4572,23,-172,-77,71
124,8713,-7,-952,-4572,23,-173,-75,71
125,8714,-4,-957,-4571,23,-173,-75,72
126,8716,3,-967,-4572,23,-174,-76,71
127,8713,-1,-960,-4572,23,-174,-76,71
128,8711,-6,-959,-4574,23,-174,-77,71
129,8709,-6,-957,-4571,23,-174,-77,71
130,8707,-5,-955,-4573,23,-174,-78,71
131,8704,-6,-953,-4576,23,-174,-77,71
132,8705,-5,-962,-4576,23,-174,-78,71
133,8701,-7,-959,-4577,23,-174,-77,70
134,8707,0,-958,-4577,23,-173,-76,70
135,8709,-1,-954,-4579,23,-173,-76,71
136,8701,-4,-956,-4577,23,-173,-75,71
