,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,-3790,-5,158,-4737,23,-86,-37,34
1,-3801,-10,193,-4734,23,-87,-40,35
2,-3777,-12,189,-4725,23,-88,-37,36
3,-3806,-13,170,-4726,23,-85,-36,37
4,-3781,-10,173,-4719,23,-87,-37,36
5,-3789,-10,188,-4733,23,-89,-39,37
6,-3806,-3,205,-4723,23,-86,-35,34
7,-3788,10,184,-4733,23,-87,-36,35
8,-3774,-6,187,-4728,23,-84,-38,34
9,-3788,-9,193,-4734,23,-87,-37,35
10,-3795,6,200,-4731,23,-85,-38,38
11,-3798,-3,191,-4727,23,-84,-36,34
12,-3779,-1,181,-4736,23,-88,-41,35
13,-3789,-1,189,-4733,23,-86,-40,31
14,-3778,-12,176,-4729,23,-87,-36,33
15,-3787,-9,191,-4726,23,-85,-37,36
16,-3805,4,195,-4727,23,-90,-43,35
17,-3792,-5,166,-4720,23,-85,-39,31
18,-3789,-1,192,-4724,23,-88,-40,34
19,-3790,-3,192,-4729,23,-88,-36,35
20,-3790,-6,158,-4736,23,-86,-36,34
21,-3791,5,213,-4726,23,-88,-39,36
22,-3796,-19,182,-4728,23,-87,-39,32
23,-3788,-12,191,-4732,23,-87,-36,35
24,-3809,-13,197,-4734,23,-88,-37,36
25,-3790,-10,190,-4731,23,-90,-44,28
26,-3777,10,190,-4729,23,-84,-39,33
27,-3792,-15,197,-4735,23,-86,-39,36
28,-3789,-4,173,-4725,23,-83,-40,33
29,-3777,5,187,-4727,23,-91,-38,36
30,-3786,-7,190,-4734,23,-86,-36,33
31,-3784,7,181,-4733,23,-87,-38,39
32,-3785,-9,180,-4725,23,-87,-40,35
33,-3796,-12,145,-4735,23,-87,-37,33
34,-3782,-14,186,-4726,23,-87,-39,35
35,-3777,-14,188,-4739,23,-88,-41,35
36,-3783,-3,183,-4726,23,-89,-39,35
37,-3777,8,157,-4719,23,-86,-40,35
38,-3792,10,197,-4729,23,-87,-36,37
39,-3780,-4,175,-4718,23,-88,-43,34
40,-3799,-9,195,-4724,23,-87,-38,37
41,-3788,-5,200,-4733,23,-90,-40,36
42,-3796,2,175,-4724,23,-91,-37,34
43,-3787,13,221,-4729,23,-88,-41,34
44,-3780,2,180,-4735,23,-89,-42,37
45,-3781,-7,184,-4725,23,-85,-40,34
46,-3776,0,176,-4733,23,-87,-41,30
47,-3798,7,183,-4727,23,-89,-40,35
48,-3799,-5,203,-4736,23,-89,-34,36
49,-3800,-26,197,-4729,23,-89,-41,35
50,-3791,-7,175,-4726,23,-87,-38,32
51,-3781,1,204,-4736,23,-87,-41,34
52,-3794,-13,178,-4722,23,-87,-41,31
53,-3784,-11,175,-4717,23,-88,-36,37
54,-3794,1,197,-4726,23,-83,-36,33
55,-3787,-5,201,-4732,23,-84,-39,34
56,-3781,-8,196,-4720,23,-86,-34,33
57,-3787,3,182,-4726,23,-85,-40,34
58,-3785,-1,169,-4729,23,-89,-40,34
59,-3805,2,192,-4719,23,-90,-38,33
60,-3782,4,182,-4734,23,-88,-39,35
61,-3787,-14,182,-4733,23,-87,-39,36
62,-3794,2,200,-4710,23,-86,-35,34
63,-3787,0,193,-4721,23,-89,-39,34
64,-3812,8,226,-4718,23,-85,-41,32
65,-3794,-4,193,-4720,23,-85,-38,35
66,-3787,-9,180,-4727,23,-88,-40,34
67,-3785,-9,176,-4709,23,-89,-37,33
68,-3789,6,192,-4724,23,-85,-40,34
69,-3797,5,203,-4729,23,-84,-38,35
70,-3788,-7,208,-4725,23,-86,-37,34
71,-3795,0,173,-4722,23,-87,-38,34
72,-3775,4,212,-4729,23,-90,-40,33
73,-3792,-2,193,-4732,23,-85,-38,38
74,-3803,7,168,-4733,23,-84,-42,36
75,-3793,-6,210,-4730,23,-91,-37,30
76,-3803,-6,201,-4725,23,-87,-39,36
77,-3789,-4,159,-4729,23,-88,-37,32
78,-3789,12,177,-4724,23,-86,-36,35
79,-3786,0,198,-4725,23,-85,-42,36
80,-3797,2,175,-4717,23,-87,-39,35
81,-3791,6,182,-4727,23,-88,-37,38
82,-3790,-11,186,-4723,23,-89,-40,38
83,-3780,0,181,-4724,23,-87,-38,33
84,-3785,5,178,-4727,23,-88,-36,33
85,-3777,2,196,-4719,23,-87,-39,33
86,-3783,-1,171,-4719,23,-86,-36,36
87,-3784,-9,169,-4716,23,-88,-40,39
88,-3788,-13,193,-4725,23,-89,-41,35
89,-3796,10,175,-4723,23,-88,-42,34
90,-3808,-4,179,-4719,23,-85,-40,33
91,-3792,3,180,-4718,23,-88,-39,35
92,-3794,6,170,-4731,23,-88,-40,36
93,-3801,-10,193,-4720,23,-87,-34,35
94,-3797,10,199,-4724,23,-88,-37,36
95,-3782,4,182,-4726,23,-87,-36,38
96,-3794,0,188,-4729,23,-87,-38,33
97,-3796,12,179,-4716,23,-88,-40,33
98,-3789,-4,202,-4725,23,-85,-39,32
99,-3806,-9,196,-4724,23,-82,-39,36
100,-3774,0,181,-4726,23,-87,-40,34
101,-3787,-5,193,-4733,23,-86,-39,36
102,-3781,-7,191,-4734,23,-89,-39,32
103,-3785,-10,187,-4727,23,-84,-39,35
104,-3798,1,191,-4722,23,-86,-36,35
105,-3800,5,199,-4724,23,-85,-40,33
106,-3797,-17,154,-4729,23,-86,-39,34
107,-3777,-11,182,-4737,23,-89,-41,34
108,-3791,6,185,-4727,23,-86,-39,33
109,-3798,-9,200,-4732,23,-88,-40,35
110,-3795,-6,191,-4720,23,-86,-38,36
111,-3791,-1,170,-4734,23,-85,-39,38
112,-3789,-1,175,-4734,23,-88,-39,36
113,-3795,1,181,-4725,23,-86,-38,33
114,-3798,-10,195,-4730,23,-87,-41,36
115,-3789,-12,174,-4735,23,-85,-36,31
116,-3778,-17,195,-4726,23,-86,-41,32
117,-3802,0,181,-4738,23,-85,-38,32
118,-3794,0,181,-4732,23,-85,-41,33
119,-3793,-5,197,-4726,23,-86,-39,37
120,-3792,-11,184,-4722,23,-87,-36,34
121,-3788,2,186,-4724,23,-89,-44,33
122,-3790,-9,174,-4732,23,-87,-40,35
123,-3809,9,181,-4735,23,-87,-42,36
124,-3797,-21,185,-4737,23,-86,-37,35
125,-3793,6,186,-4727,23,-88,-39,38
126,-3790,9,184,-4729,23,-86,-37,29
127,-3796,20,195,-4731,23,-85,-41,34
128,-3785,-2,202,-4722,23,-90,-37,37
129,-3795,-6,195,-4728,23,-84,-40,37
130,-3783,3,176,-4727,23,-85,-37,32
131,-3788,-4,201,-4733,23,-86,-42,36
132,-3777,2,197,-4738,23,-85,-38,32
133,-3787,7,182,-4725,23,-85,-40,33
134,-3776,-5,169,-4721,23,-89,-42,32
135,-3784,-7,186,-4727,23,-85,-37,34
136,-3796,3,181,-4726,23,-87,-40,35
137,-3781,5,190,-4738,23,-87,-37,38
138,-3794,7,176,-4738,23,-91,-39,34
139,-3780,-2,214,-4735,23,-86,-37,33
140,-3792,-8,185,-4728,23,-86,-43,33
141,-3790,0,199,-4723,23,-86,-39,31
142,-3777,-11,185,-4730,23,-88,-39,33
143,-3783,8,184,-4728,23,-87,-41,35
144,-3783,-4,186,-4723,23,-86,-40,35
145,-3784,-4,171,-4728,23,-85,-40,33
146,-3794,4,204,-4719,23,-85,-37,30
147,-3786,-12,180,-4723,23,-86,-39,33
148,-3778,3,175,-4729,23,-89,-36,35
149,-3794,-1,211,-4720,23,-89,-34,35
150,-3777,-14,171,-4733,23,-86,-39,32
151,-3777,-10,179,-4719,23,-84,-40,35
152,-3793,4,175,-4727,23,-88,-37,36
153,-3804,3,189,-4729,23,-87,-38,34
154,-3796,-2,191,-4733,23,-85,-38,33
155,-3796,-21,179,-4731,23,-86,-34,33
156,-3776,-15,177,-4736,23,-86,-40,35
157,-3793,-12,184,-4738,23,-88,-38,31
158,-3790,-7,198,-4727,23,-88,-39,38
159,-3789,-2,161,-4736,23,-87,-40,34
160,-3790,-11,194,-4723,23,-88,-42,32
161,-3776,-7,184,-4729,23,-87,-38,35
162,-3792,12,192,-4729,23,-86,-38,35
163,-3786,-14,183,-4729,23,-91,-42,35
164,-3806,5,176,-4719,23,-87,-38,30
165,-3781,3,200,-4729,23,-90,-38,34
166,-3789,-2,179,-4714,23,-89,-37,34
167,-3784,5,173,-4725,23,-86,-42,34
168,-3806,6,182,-4737,23,-86,-40,30
169,-3791,-5,184,-4725,23,-85,-39,37
170,-3764,-11,178,-4725,23,-87,-40,33
171,-3784,6,179,-4731,23,-85,-40,33
172,-3785,4,178,-4731,23,-85,-41,31
173,-3781,-20,162,-4726,23,-87,-41,36
174,-3786,-9,200,-4710,23,-84,-38,37
175,-3773,-4,188,-4718,23,-89,-38,34
176,-3792,1,186,-4717,23,-87,-37,33
177,-3786,-12,183,-4725,23,-85,-38,33
178,-3781,-7,170,-4729,23,-87,-38,33
179,-3803,-1,196,-4733,23,-86,-38,35
180,-3792,14,186,-4724,23,-87,-36,31
181,-3790,-12,196,-4732,23,-89,-39,34
182,-3799,-5,205,-4720,23,-87,-38,33
183,-3776,8,177,-4729,23,-87,-41,35
184,-3782,-1,195,-4727,23,-87,-37,33
185,-3786,-7,201,-4725,23,-88,-35,35
186,-3799,7,174,-4724,23,-88,-42,38
187,-3794,-7,204,-4728,23,-88,-38,33
188,-3778,11,160,-4732,23,-87,-38,33
189,-3790,-12,182,-4719,23,-88,-39,34
190,-3794,-10,190,-4724,23,-89,-37,33
191,-3784,-4,187,-4720,23,-82,-35,31
192,-3797,-10,180,-4729,23,-86,-40,36
193,-3783,-14,186,-4727,23,-86,-41,36
194,-3784,-15,175,-4727,23,-89,-39,37
195,-3793,-1,157,-4722,23,-87,-36,35
196,-3803,-12,193,-4729,23,-87,-40,33
197,-3794,-4,188,-4733,23,-88,-41,36
198,-3783,4,205,-4715,23,-87,-35,36
199,-3788,-14,184,-4716,23,-85,-39,33
200,-3795,-7,194,-4722,23,-85,-39,32
201,-3791,15,163,-4728,23,-85,-38,35
202,-3791,-11,180,-4720,23,-87,-36,34
203,-3785,4,201,-4710,23,-88,-43,32
204,-3791,-24,175,-4725,23,-85,-36,32
205,-3800,2,191,-4713,23,-85,-42,33
206,-3795,-2,185,-4735,23,-85,-36,33
207,-3792,2,163,-4728,23,-88,-39,35
208,-3770,4,184,-4730,23,-87,-36,33
209,-3795,8,204,-4730,23,-87,-39,34
210,-3784,9,203,-4733,23,-84,-39,35
211,-3783,-12,185,-4724,23,-87,-37,29
212,-3782,0,192,-4719,23,-90,-36,34
213,-3792,-3,186,-4728,23,-90,-35,37
214,-3804,-7,197,-4724,23,-83,-40,30
215,-3800,2,181,-4728,23,-87,-41,33
216,-3769,-12,176,-4725,23,-88,-38,37
217,-3793,0,153,-4723,23,-88,-40,32
218,-3795,-13,199,-4711,23,-88,-37,32
219,-3792,7,184,-4722,23,-86,-34,33
220,-3791,-24,203,-4724,23,-88,-36,33
221,-3785,-3,193,-4725,23,-88,-41,36
222,-3799,-6,208,-4734,23,-86,-39,32
223,-3788,-7,193,-4725,23,-89,-39,36
224,-3796,9,181,-4714,23,-86,-37,33
225,-3785,-2,182,-4732,23,-90,-40,33
226,-3782,-4,187,-4723,23,-90,-37,35
227,-3788,-15,192,-4722,23,-87,-37,38
228,-3777,-13,186,-4711,23,-87,-36,35
229,-3788,-4,169,-4714,23,-86,-38,34
230,-3781,-12,175,-4732,23,-88,-38,34
231,-3781,-4,171,-4723,23,-85,-37,33
232,-3801,-15,183,-4728,23,-92,-36,34
233,-3785,-3,192,-4729,23,-87,-38,34
234,-3779,2,193,-4723,23,-86,-41,33
235,-3780,0,190,-4714,23,-86,-38,32
236,-3775,-6,183,-4722,23,-89,-36,33
237,-3792,5,195,-4725,23,-82,-40,36
238,-3788,5,169,-4734,23,-87,-35,35
239,-3792,12,191,-4722,23,-88,-41,35
240,-3794,-7,178,-4726,23,-85,-38,33
241,-3780,3,195,-4720,23,-86,-37,36
242,-3786,-14,183,-4717,23,-87,-37,34
243,-3792,9,190,-4713,23,-88,-36,31
244,-3788,8,168,-4727,23,-87,-36,35
245,-3799,-13,169,-4718,23,-87,-38,33
246,-3780,9,179,-4721,23,-86,-34,33
247,-3804,3,197,-4725,23,-88,-36,35
248,-3789,-5,203,-4726,23,-87,-43,32
249,-3786,-14,184,-4732,23,-85,-37,33
250,-3799,11,204,-4717,23,-89,-38,34
251,-3783,-1,185,-4720,23,-86,-38,32
252,-3784,-6,189,-4726,23,-86,-37,34
253,-3789,-5,167,-4723,23,-86,-40,36
254,-3780,-15,165,-4743,23,-87,-38,36
255,-3791,-7,190,-4735,23,-86,-36,35
256,-3782,9,176,-4727,23,-87,-42,34
257,-3791,-10,213,-4730,23,-89,-39,35
258,-3786,-11,196,-4718,23,-88,-41,36
259,-3778,-18,189,-4725,23,-85,-35,32
260,-3811,-2,187,-4726,23,-90,-39,34
261,-3803,5,193,-4730,23,-88,-42,35
262,-3792,4,189,-4728,23,-83,-36,32
263,-3776,-17,204,-4730,23,-85,-41,35
264,-3793,-2,187,-4733,23,-85,-38,33
265,-3776,-3,187,-4727,23,-87,-37,35
266,-3774,-4,176,-4737,23,-87,-38,34
267,-3786,2,167,-4726,23,-89,-34,36
268,-3782,0,189,-4726,23,-88,-36,36
269,-3772,-15,191,-4726,23,-87,-40,35
270,-3778,-7,183,-4736,23,-88,-37,33
271,-3800,-8,197,-4718,23,-83,-38,33
272,-3803,14,189,-4720,23,-85,-37,36
273,-3777,11,192,-4731,23,-85,-39,34
274,-3800,-12,211,-4735,23,-86,-38,38
275,-3780,-1,182,-4725,23,-87,-40,36
276,-3800,2,187,-4719,23,-87,-38,33
277,-3787,0,190,-4729,23,-88,-35,33
278,-3794,-14,183,-4719,23,-87,-37,35
279,-3800,-7,187,-4725,23,-88,-37,34
280,-3798,-11,188,-4730,23,-85,-39,35
281,-3780,-15,193,-4724,23,-85,-41,35
282,-3791,12,175,-4723,23,-90,-34,33
283,-3787,-9,200,-4724,23,-87,-36,33
284,-3776,7,185,-4727,23,-90,-35,32
285,-3793,1,177,-4723,23,-89,-40,35
286,-3788,3,188,-4733,23,-85,-36,38
287,-3775,-5,183,-4727,23,-86,-38,33
288,-3778,-20,198,-4731,23,-86,-40,32
289,-3785,14,182,-4732,23,-88,-39,35
290,-3777,-3,193,-4730,23,-87,-36,35
291,-3790,4,196,-4729,23,-85,-41,37
292,-3795,-2,160,-4718,23,-89,-40,32
293,-3785,6,177,-4716,23,-87,-39,32
294,-3785,8,191,-4726,23,-90,-39,34
295,-3784,-4,187,-4729,23,-85,-42,34
296,-3794,19,191,-4734,23,-88,-40,32
297,-3793,-5,168,-4723,23,-87,-38,35
298,-3776,-28,172,-4720,23,-84,-39,36
299,-3781,-7,171,-4723,23,-87,-36,34
300,-3787,7,195,-4714,23,-88,-37,32
301,-3795,-8,180,-4727,23,-85,-38,32
302,-3785,4,195,-4732,23,-87,-38,33
303,-3768,5,188,-4724,23,-88,-45,34
304,-3785,8,188,-4721,23,-86,-39,35
305,-3785,-2,193,-4732,23,-89,-40,35
306,-3795,-9,180,-4733,23,-83,-40,34
307,-3798,1,185,-4721,23,-87,-39,36
308,-3792,-7,175,-4727,23,-89,-38,31
309,-3792,-2,190,-4733,23,-88,-40,31
310,-3804,1,197,-4722,23,-87,-37,38
311,-3793,-1,190,-4724,23,-88,-38,34
312,-3789,-2,187,-4725,23,-88,-38,37
313,-3785,4,171,-4717,23,-83,-37,33
314,-3794,-4,194,-4722,23,-90,-36,32
315,-3795,-7,191,-4723,23,-90,-42,36
316,-3780,-8,186,-4727,23,-86,-36,33
317,-3782,-6,200,-4726,23,-87,-40,36
318,-3785,3,193,-4732,23,-87,-35,38
319,-3774,-4,201,-4717,23,-88,-39,36
320,-3782,-6,188,-4719,23,-88,-36,35
321,-3799,-9,198,-4733,23,-83,-40,36
322,-3785,-2,189,-4728,23,-85,-38,31
323,-3795,7,177,-4731,23,-83,-36,33
324,-3785,0,192,-4731,23,-86,-41,34
325,-3791,-15,181,-4730,23,-81,-40,33
326,-3799,-1,175,-4726,23,-90,-40,33
327,-3794,-7,160,-4726,23,-91,-43,35
328,-3791,-1,191,-4733,23,-86,-36,34
329,-3793,-10,218,-4725,23,-86,-39,36
330,-3790,0,180,-4732,23,-88,-39,34
331,-3789,-9,198,-4727,23,-86,-39,35
332,-3784,4,202,-4730,23,-86,-38,36
333,-3788,-4,194,-4721,23,-88,-40,34
334,-3798,-5,191,-4721,23,-85,-36,32
335,-3788,-8,194,-4730,23,-90,-37,35
336,-3802,-2,182,-4727,23,-87,-40,37
337,-3793,-8,184,-4721,23,-84,-39,34
338,-3789,-4,190,-4707,23,-87,-41,33
339,-3775,5,175,-4724,23,-83,-39,34
340,-3791,0,171,-4724,23,-88,-39,33
341,-3792,-4,210,-4724,23,-91,-40,36
342,-3786,-18,175,-4727,23,-87,-39,35
343,-3779,-7,215,-4725,23,-90,-39,34
344,-3786,-1,172,-4721,23,-86,-36,35
345,-3783,-7,183,-4717,23,-87,-35,34
346,-3789,0,186,-4726,23,-86,-39,34
