,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,172,65535,1838,65267,65411,71,61146
1,172,0,1837,65267,65411,71,61146
2,172,65535,1837,65267,65411,72,61146
3,172,65534,1836,65267,65412,72,61146
4,172,65534,1836,65267,65414,69,61146
5,172,0,1836,65267,65415,71,61146
6,172,0,1837,65268,65412,75,61148
7,171,0,1838,65266,65411,74,61147
8,173,0,1842,65266,65413,74,61146
9,172,2,1838,65269,65413,76,61148
10,171,1,1838,65265,65412,78,61148
11,172,65534,1840,65267,65414,76,61150
12,172,65535,1839,65266,65414,72,61149
13,174,65535,1840,65268,65416,70,61148
14,172,2,1840,65269,65415,73,61149
15,172,1,1840,65267,65416,70,61150
16,173,3,1842,65266,65415,71,61150
17,174,2,1839,65266,65414,72,61149
18,172,0,1841,65265,65414,75,61150
19,171,65534,1839,65267,65412,70,61151
20,171,65535,1837,65265,65415,65,61150
21,171,0,1839,65267,65415,69,61151
22,172,1,1837,65266,65415,71,61152
23,173,0,1840,65265,65417,73,61150
24,173,1,1840,65266,65418,72,61150
25,172,1,1840,65267,65415,70,61152
26,171,1,1841,65265,65418,73,61151
27,171,1,1839,65264,65414,74,61149
28,171,65535,1841,65264,65416,71,61151
29,172,0,1836,65265,65414,73,61150
30,173,1,1835,65267,65416,76,61151
31,172,2,1836,65267,65417,71,61151
32,171,2,1839,65271,65419,70,61151
33,170,2,1839,65270,65414,71,61153
34,170,0,1837,65267,65413,74,61155
35,174,0,1838,65266,65417,74,61155
36,172,0,1838,65267,65416,75,61155
37,171,0,1836,65266,65416,72,61151
38,171,1,1837,65264,65413,73,61150
39,172,65535,1839,65267,65414,71,61151
40,173,1,1838,65267,65415,72,61151
41,174,1,1837,65269,65413,73,61151
42,174,1,1839,65268,65410,73,61153
43,173,2,1842,65266,65414,68,61157
44,172,2,1841,65267,65412,71,61156
45,173,0,1836,65269,65417,72,61156
46,173,1,1838,65269,65420,73,61157
47,172,0,1841,65267,65416,70,61155
48,174,65534,1838,65264,65415,73,61157
49,174,0,1839,65265,65417,72,61155
50,174,1,1838,65265,65413,71,61152
51,174,1,1836,65264,65415,75,61154
52,172,2,1839,65265,65415,76,61155
53,171,0,1840,65264,65414,75,61156
54,172,0,1841,65265,65417,76,61154
55,173,0,1839,65269,65416,71,61156
56,171,0,1839,65268,65415,73,61155
57,173,0,1839,65264,65412,73,61156
58,173,0,1839,65267,65414,74,61155
59,172,1,1837,65268,65415,74,61156
60,174,65535,1839,65270,65414,73,61154
61,174,1,1839,65265,65411,74,61154
62,174,1,1839,65268,65415,72,61154
63,172,65535,1842,65269,65417,75,61157
64,172,0,1839,65266,65418,73,61154
65,174,0,1839,65269,65417,73,61156
66,172,0,1839,65269,65415,71,61152
67,172,1,1842,65269,65416,73,61153
68,173,0,1840,65270,65415,70,61152
69,172,1,1840,65267,65415,71,61152
70,172,65535,1841,65265,65414,73,61156
71,173,0,1841,65268,65415,76,61155
72,172,1,1842,65265,65415,74,61155
73,174,65534,1838,65268,65415,74,61154
74,171,65535,1838,65265,65413,72,61153
75,172,1,1839,65267,65414,73,61153
76,172,65535,1838,65269,65413,72,61156
77,171,0,1837,65268,65414,75,61157
78,172,1,1837,65271,65414,69,61159
79,172,0,1841,65267,65416,69,61157
80,172,0,1840,65268,65414,71,61158
81,173,65535,1841,65267,65410,72,61155
82,174,65535,1839,65267,65412,75,61153
83,173,1,1840,65267,65410,72,61154
84,172,0,1839,65268,65410,74,61157
85,172,0,1840,65267,65415,76,61157
86,172,65535,1840,65267,65417,73,61154
87,172,1,1838,65266,65418,74,61154
88,172,1,1839,65266,65414,73,61154
89,172,0,1840,65266,65414,72,61155
90,170,2,1840,65263,65414,73,61157
91,171,0,1839,65268,65412,70,61157
92,173,0,1839,65268,65413,72,61159
93,173,65534,1841,65267,65414,75,61155
94,172,65535,1838,65268,65416,74,61154
95,171,65535,1839,65263,65416,73,61153
96,172,0,1836,65268,65415,72,61153
97,172,0,1838,65265,65411,73,61157
98,173,2,1840,65266,65415,74,61154
99,173,0,1841,65265,65415,73,61153
100,173,0,1838,65266,65414,73,61153
101,172,1,1836,65267,65417,74,61154
102,173,1,1836,65267,65415,71,61155
103,172,0,1838,65266,65415,76,61156
104,171,2,1840,65268,65414,72,61152
105,171,2,1839,65266,65413,74,61154
106,172,1,1840,65265,65413,72,61154
107,172,2,1841,65265,65412,75,61154
108,172,0,1838,65265,65412,74,61155
109,172,65535,1840,65268,65416,72,61153
110,172,1,1838,65264,65414,73,61153
111,172,1,1842,65264,65415,72,61156
112,170,65535,1841,65266,65413,73,61154
113,171,0,1839,65268,65413,71,61157
114,171,65534,1840,65265,65413,70,61155
115,171,1,1842,65269,65411,68,61160
116,169,65535,1839,65267,65412,71,61159
117,172,65534,1839,65269,65418,71,61159
118,171,0,1839,65268,65417,74,61156
119,171,0,1840,65268,65416,72,61157
120,172,1,1840,65268,65418,70,61157
121,173,0,1840,65265,65415,73,61155
122,171,0,1840,65264,65417,71,61155
123,171,65535,1840,65268,65418,72,61155
124,171,65535,1838,65268,65416,71,61154
125,168,2,1839,65268,65418,74,61157
126,173,0,1838,65267,65417,76,61158
127,174,1,1838,65268,65414,74,61154
128,172,1,1840,65267,65414,73,61159
129,172,0,1836,65266,65418,73,61158
130,171,2,1838,65263,65413,73,61157
131,171,2,1838,65265,65411,72,61157
132,171,2,1839,65268,65417,72,61156
133,171,3,1841,65269,65415,74,61156
134,173,2,1840,65266,65413,73,61155
135,173,1,1838,65267,65412,70,61153
136,172,1,1841,65267,65417,72,61155
137,171,0,1839,65265,65414,75,61154
138,172,1,1842,65264,65412,74,61152
139,171,65535,1841,65266,65415,74,61156
140,172,0,1840,65268,65411,76,61157
141,173,65535,1838,65267,65417,74,61155
142,170,65534,1838,65268,65411,74,61156
143,173,0,1839,65271,65415,72,61156
144,175,1,1841,65267,65414,75,61154
145,174,65535,1840,65266,65416,73,61153
146,173,65535,1842,65265,65417,71,61153
147,173,1,1839,65267,65414,73,61155
148,171,65535,1840,65268,65422,70,61156
149,173,0,1839,65270,65419,71,61155
150,172,2,1839,65269,65417,72,61154
151,172,65535,1841,65269,65416,67,61153
152,172,65535,1840,65266,65418,69,61149
153,174,1,1839,65265,65415,72,61153
154,172,1,1841,65266,65414,73,61152
155,171,65535,1842,65268,65419,74,61155
156,173,65535,1840,65266,65416,76,61155
157,172,65534,1840,65267,65413,75,61150
158,172,65535,1838,65266,65414,74,61151
159,170,65534,1840,65266,65415,69,61155
160,171,0,1842,65266,65416,70,61156
161,171,2,1841,65264,65417,71,61153
162,171,2,1839,65265,65413,70,61153
163,171,0,1838,65265,65410,72,61148
164,171,65534,1842,65263,65413,71,61148
165,170,1,1840,65265,65416,73,61152
166,171,65535,1840,65267,65416,70,61153
167,172,65535,1839,65263,65415,73,61155
168,172,1,1843,65267,65412,73,61156
169,172,0,1841,65266,65419,71,61154
170,171,1,1838,65266,65417,73,61154
171,173,0,1841,65267,65416,73,61155
172,171,0,1841,65265,65415,74,61156
173,170,65535,1839,65266,65414,75,61153
174,172,0,1838,65267,65417,73,61153
175,174,0,1838,65268,65411,73,61154
176,172,0,1840,65270,65413,70,61156
177,171,0,1840,65268,65415,71,61157
178,172,1,1839,65268,65418,70,61155
179,171,1,1840,65269,65418,72,61155
180,172,1,1840,65268,65415,71,61154
181,171,2,1838,65268,65415,69,61154
182,171,65535,1841,65266,65416,76,61158
183,174,65535,1838,65265,65415,74,61155
184,171,0,1840,65265,65414,69,61154
185,171,0,1840,65266,65416,71,61157
186,174,1,1839,65264,65415,68,61156
187,173,1,1841,65266,65414,67,61155
188,171,0,1840,65266,65416,70,61155
189,171,1,1841,65266,65415,71,61156
190,171,1,1840,65269,65415,72,61160
191,171,1,1841,65267,65416,72,61156
192,172,0,1841,65268,65415,74,61154
193,172,0,1840,65266,65415,74,61157
194,174,65535,1839,65267,65415,72,61155
195,173,65534,1838,65267,65416,74,61156
196,173,65535,1835,65265,65413,73,61156
197,173,65535,1838,65269,65416,70,61155
