,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,172,3,1839,65265,65416,75,61141
1,171,3,1840,65264,65414,70,61139
2,172,2,1839,65268,65415,70,61140
3,171,3,1838,65266,65414,73,61139
4,172,1,1838,65267,65413,75,61136
5,172,1,1839,65266,65412,73,61137
6,172,2,1841,65266,65412,75,61138
7,172,0,1842,65268,65413,78,61137
8,172,65535,1842,65267,65414,75,61139
9,172,65535,1839,65268,65415,69,61137
10,170,1,1839,65269,65417,70,61142
11,171,2,1841,65267,65415,73,61136
12,171,1,1840,65267,65415,70,61136
13,172,3,1840,65268,65418,69,61136
14,172,65535,1838,65266,65415,72,61137
15,173,2,1837,65265,65413,72,61137
16,172,65535,1840,65265,65414,71,61138
17,170,65535,1842,65266,65414,74,61136
18,173,0,1838,65270,65416,73,61138
19,173,0,1841,65270,65418,72,61136
20,172,1,1840,65267,65414,71,61137
21,173,0,1839,65266,65414,71,61137
22,172,1,1835,65265,65416,72,61136
23,171,1,1842,65268,65417,72,61140
24,172,3,1841,65267,65416,73,61138
25,172,1,1840,65266,65411,70,61138
26,172,2,1839,65266,65417,72,61139
27,171,1,1839,65268,65416,71,61140
28,173,3,1841,65267,65415,73,61141
29,171,1,1840,65269,65414,74,61139
30,172,1,1841,65269,65414,75,61136
31,173,3,1841,65266,65417,76,61139
32,175,3,1841,65265,65417,76,61140
33,174,1,1839,65264,65420,76,61139
34,173,2,1840,65268,65416,77,61135
35,173,1,1838,65266,65415,74,61134
36,171,65535,1840,65269,65417,73,61137
37,172,1,1839,65267,65413,70,61136
38,171,2,1839,65267,65416,73,61135
39,173,2,1838,65267,65416,70,61135
40,173,2,1837,65265,65415,76,61136
41,172,1,1838,65267,65415,72,61137
42,173,1,1843,65267,65416,74,61136
43,172,1,1837,65267,65416,77,61137
44,171,1,1837,65267,65418,71,61139
45,172,2,1838,65266,65416,70,61138
46,172,1,1839,65264,65414,74,61138
47,172,2,1842,65266,65416,72,61139
48,174,2,1840,65267,65415,73,61138
49,173,1,1841,65266,65419,72,61140
50,173,1,1841,65267,65418,73,61137
51,172,0,1839,65268,65416,71,61135
52,172,0,1840,65268,65416,68,61135
53,173,2,1838,65265,65417,71,61137
54,173,0,1835,65265,65414,71,61138
55,174,3,1838,65265,65410,73,61136
56,172,2,1837,65267,65414,74,61135
57,172,0,1839,65269,65415,74,61138
58,173,1,1838,65268,65414,78,61139
59,171,1,1840,65266,65414,73,61140
60,173,1,1839,65266,65415,71,61139
61,172,65535,1840,65266,65418,72,61140
62,172,65535,1842,65267,65414,73,61139
63,172,0,1841,65267,65417,72,61139
64,171,1,1841,65265,65414,71,61139
65,172,2,1842,65267,65417,74,61139
66,172,3,1841,65265,65413,75,61141
67,174,2,1838,65265,65412,76,61138
68,173,2,1838,65266,65415,73,61137
69,173,2,1839,65266,65415,72,61138
70,172,1,1841,65266,65417,72,61138
71,171,0,1837,65268,65415,76,61140
72,172,65535,1841,65266,65416,76,61142
73,173,1,1840,65265,65416,74,61136
74,172,0,1842,65264,65417,73,61138
75,172,0,1841,65268,65418,73,61141
76,173,1,1841,65264,65415,72,61139
77,173,2,1839,65264,65416,74,61141
78,172,1,1840,65266,65414,72,61138
79,171,3,1839,65267,65418,72,61139
80,172,2,1842,65266,65414,74,61140
81,173,1,1839,65267,65420,69,61142
82,173,3,1841,65267,65418,73,61141
83,173,2,1842,65266,65417,73,61139
84,171,0,1841,65266,65413,74,61140
85,174,1,1843,65266,65417,74,61139
86,171,1,1839,65266,65414,76,61141
87,172,1,1841,65268,65414,71,61136
88,171,0,1839,65268,65417,68,61140
89,171,1,1839,65267,65415,68,61139
90,172,1,1839,65264,65416,70,61139
91,170,1,1839,65266,65415,69,61139
92,172,3,1839,65267,65416,71,61137
93,171,0,1842,65267,65417,75,61138
94,173,65535,1840,65265,65415,70,61138
95,173,1,1839,65268,65413,76,61139
96,173,0,1840,65267,65413,75,61140
97,172,0,1840,65267,65415,71,61139
98,172,0,1838,65267,65417,73,61140
99,170,1,1842,65268,65413,74,61140
100,172,2,1842,65267,65414,72,61139
101,172,1,1839,65265,65412,72,61139
102,174,1,1838,65266,65413,73,61138
103,173,0,1841,65264,65416,75,61139
104,172,1,1840,65264,65417,73,61138
105,172,1,1841,65265,65416,78,61137
106,174,1,1840,65267,65418,75,61139
107,173,1,1841,65265,65413,77,61137
108,172,0,1840,65269,65415,78,61139
109,173,0,1840,65266,65414,73,61139
110,172,1,1838,65269,65412,74,61140
111,171,0,1838,65267,65414,72,61139
112,171,65534,1837,65265,65413,70,61136
113,171,1,1837,65267,65415,74,61137
114,171,1,1841,65266,65414,75,61138
115,172,1,1842,65266,65414,69,61139
116,171,1,1839,65267,65413,73,61142
117,172,1,1840,65267,65414,75,61143
118,171,0,1842,65266,65417,72,61141
119,172,65534,1839,65265,65413,69,61138
120,173,0,1841,65265,65412,71,61138
121,171,1,1841,65264,65412,73,61137
122,171,0,1839,65267,65411,75,61139
123,171,1,1838,65267,65412,76,61141
124,172,2,1838,65265,65412,73,61142
125,172,2,1839,65265,65415,71,61140
126,172,1,1834,65266,65417,71,61138
127,173,2,1839,65267,65416,70,61139
128,173,2,1841,65268,65415,72,61140
129,171,1,1842,65267,65414,74,61138
130,172,2,1841,65266,65415,74,61137
131,173,0,1841,65266,65416,72,61138
132,171,1,1840,65265,65413,70,61139
133,173,1,1838,65267,65415,70,61140
134,171,2,1840,65267,65414,71,61140
135,170,0,1840,65262,65414,69,61139
136,172,1,1839,65263,65419,69,61139
137,171,1,1838,65267,65412,71,61137
138,173,0,1839,65265,65414,75,61140
139,173,1,1841,65265,65413,77,61142
140,173,1,1843,65264,65416,72,61139
141,172,2,1841,65263,65416,72,61140
142,172,2,1838,65265,65416,75,61141
143,173,3,1839,65265,65414,71,61140
144,172,1,1837,65266,65414,72,61140
145,172,2,1839,65270,65413,71,61140
146,172,2,1838,65269,65414,68,61142
147,173,1,1837,65265,65412,73,61140
148,173,0,1838,65266,65414,73,61139
149,172,4,1840,65265,65412,75,61141
150,173,2,1841,65266,65412,76,61140
151,173,2,1843,65264,65415,73,61137
152,173,0,1840,65266,65410,72,61139
153,173,1,1843,65265,65413,69,61136
154,173,2,1839,65265,65409,70,61138
155,174,2,1838,65267,65411,75,61140
156,174,1,1840,65269,65414,72,61141
157,173,1,1841,65266,65416,75,61140
158,172,65535,1839,65268,65411,75,61141
159,171,2,1840,65268,65414,73,61143
160,173,1,1840,65266,65416,72,61141
161,173,1,1843,65263,65414,74,61140
162,172,1,1840,65265,65414,76,61142
163,173,4,1841,65266,65418,72,61142
164,173,3,1839,65270,65416,74,61140
165,171,2,1841,65267,65418,75,61139
166,173,0,1843,65266,65416,75,61138
167,172,3,1841,65264,65414,73,61138
168,172,1,1841,65266,65413,72,61138
169,172,65535,1839,65267,65416,74,61139
170,172,1,1837,65265,65413,72,61140
171,172,0,1837,65268,65413,74,61139
172,172,65535,1842,65266,65415,72,61141
173,173,65535,1839,65267,65416,72,61141
174,172,65535,1837,65266,65415,73,61140
175,172,0,1835,65267,65418,70,61139
176,173,1,1837,65268,65412,75,61140
177,172,2,1836,65268,65415,73,61142
178,171,2,1840,65263,65415,73,61141
179,172,1,1837,65266,65411,72,61138
180,174,0,1839,65265,65415,74,61138
181,172,0,1841,65264,65416,77,61139
182,171,65534,1841,65267,65417,72,61139
183,170,1,1838,65266,65419,73,61140
184,171,1,1838,65265,65418,74,61139
185,172,65535,1839,65266,65419,74,61142
186,173,1,1840,65266,65415,73,61142
187,174,0,1840,65266,65416,76,61144
188,173,1,1839,65267,65415,75,61143
189,173,1,1839,65267,65415,74,61141
190,173,1,1840,65268,65416,73,61141
191,172,0,1839,65267,65418,73,61141
192,170,0,1840,65267,65420,71,61140
193,175,1,1841,65265,65418,71,61145
194,173,1,1840,65265,65413,72,61145
195,172,65535,1842,65265,65412,73,61145
196,173,65535,1840,65266,65418,72,61144
197,172,2,1840,65265,65410,73,61143
198,172,65535,1840,65266,65414,71,61143
199,172,1,1843,65267,65416,73,61144
200,175,1,1841,65266,65418,74,61140
201,176,3,1840,65265,65416,74,61140
202,174,1,1840,65264,65416,75,61142
203,170,4,1842,65265,65416,73,61140
204,170,2,1840,65268,65417,75,61141
205,175,1,1840,65267,65414,72,61139
206,172,3,1838,65266,65417,72,61138
207,173,0,1840,65267,65415,71,61141
208,173,0,1839,65265,65418,70,61139
209,171,0,1839,65266,65418,70,61139
210,173,1,1838,65267,65415,72,61142
211,172,0,1840,65265,65416,70,61145
212,171,0,1840,65268,65415,69,61145
213,171,0,1842,65267,65412,70,61141
214,172,1,1838,65265,65418,75,61141
215,172,1,1839,65269,65414,76,61142
216,171,65535,1837,65266,65416,76,61141
217,171,2,1839,65266,65420,69,61141
218,172,0,1840,65266,65420,69,61139
219,172,1,1839,65266,65417,70,61142
220,170,1,1840,65263,65413,71,61141
221,170,1,1838,65268,65413,74,61141
222,173,1,1840,65266,65414,72,61140
223,171,3,1840,65266,65418,71,61141
224,168,2,1839,65266,65414,75,61140
225,172,0,1841,65266,65417,76,61139
226,171,1,1839,65265,65418,74,61142
227,173,2,1841,65265,65417,77,61138
228,172,65535,1838,65266,65415,69,61138
229,172,3,1841,65268,65415,71,61136
230,174,0,1841,65266,65414,71,61138
231,175,1,1839,65266,65418,72,61140
232,170,1,1838,65262,65416,68,61139
233,173,65535,1839,65265,65413,72,61138
234,171,2,1837,65266,65414,72,61136
235,169,65535,1838,65266,65412,73,61138
236,170,65534,1841,65262,65408,71,61139
237,173,1,1838,65265,65412,73,61140
238,171,1,1842,65265,65413,73,61142
239,173,65535,1842,65266,65414,73,61141
240,171,1,1841,65267,65416,75,61142
241,170,1,1839,65265,65413,73,61144
242,174,1,1841,65266,65413,75,61144
243,173,2,1840,65270,65415,73,61144
244,173,65535,1843,65268,65414,74,61141
245,174,2,1839,65265,65413,71,61145
246,173,0,1841,65265,65416,69,61144
247,172,1,1838,65267,65417,72,61142
248,173,2,1840,65267,65414,73,61143
249,171,0,1838,65265,65417,75,61141
250,171,0,1840,65266,65417,72,61141
251,172,3,1841,65267,65417,74,61141
252,171,2,1840,65265,65418,77,61140
253,172,65535,1841,65265,65421,72,61143
254,171,65535,1838,65267,65417,73,61142
255,169,0,1840,65268,65414,69,61142
256,171,1,1838,65266,65416,71,61142
257,172,2,1841,65266,65418,76,61141
258,171,65534,1841,65267,65419,76,61141
259,173,65535,1841,65264,65418,73,61139
260,173,2,1840,65268,65414,72,61144
261,172,2,1838,65268,65414,73,61142
262,173,0,1837,65266,65420,72,61143
263,170,1,1838,65265,65413,74,61143
264,172,4,1838,65265,65413,74,61142
265,173,1,1840,65267,65415,77,61141
266,170,65534,1840,65265,65417,74,61145
267,173,1,1839,65267,65411,73,61143
268,175,2,1839,65265,65416,74,61145
269,171,1,1839,65268,65417,72,61142
270,172,65535,1841,65267,65417,73,61143
271,172,1,1841,65269,65417,71,61145
272,173,1,1840,65266,65418,71,61145
273,179,0,1843,65263,65413,71,61144
274,166,3,1842,65265,65418,71,61147
275,168,3,1840,65264,65416,68,61145
276,180,65531,1838,65267,65413,72,61144
277,166,6,1839,65268,65415,70,61146
278,169,65533,1838,65265,65413,78,61143
279,179,65535,1837,65265,65418,70,61142
280,166,7,1840,65267,65420,73,61144
281,172,65535,1840,65263,65416,71,61142
282,175,65534,1840,65266,65419,73,61140
283,169,5,1838,65265,65417,71,61144
284,175,65533,1840,65263,65416,71,61144
285,175,65535,1838,65267,65419,69,61146
286,168,5,1840,65267,65418,74,61144
287,174,65535,1841,65264,65417,74,61143
288,172,2,1840,65265,65419,73,61146
289,171,3,1838,65267,65413,73,61145
290,173,65534,1838,65264,65419,74,61146
291,171,1,1842,65263,65418,71,61143
292,172,0,1842,65268,65417,76,61144
293,172,65535,1841,65268,65417,69,61144
294,170,1,1839,65267,65413,71,61143
295,171,2,1841,65265,65411,71,61143
296,171,65535,1842,65266,65414,70,61144
297,172,0,1839,65267,65418,72,61145
298,172,65534,1838,65265,65415,74,61141
299,172,0,1838,65266,65414,70,61145
300,171,65534,1838,65268,65415,68,61144
301,173,0,1838,65266,65415,69,61142
302,173,2,1839,65265,65414,71,61142
303,171,1,1838,65269,65416,72,61141
304,173,1,1840,65266,65413,71,61141
305,170,4,1838,65267,65415,73,61142
306,169,1,1838,65267,65416,70,61143
307,170,0,1839,65266,65413,72,61145
308,171,0,1841,65267,65419,76,61145
309,171,3,1839,65269,65415,70,61142
310,171,2,1841,65266,65415,71,61141
311,171,1,1842,65266,65415,71,61140
312,171,2,1839,65268,65414,73,61142
313,172,1,1838,65265,65413,71,61141
314,171,1,1837,65267,65415,73,61141
315,173,2,1839,65266,65414,78,61142
316,172,2,1841,65267,65415,72,61143
317,173,3,1839,65266,65414,76,61141
318,172,0,1841,65267,65415,76,61143
319,170,1,1841,65267,65417,75,61143
320,172,1,1838,65266,65417,72,61145
321,173,1,1840,65269,65415,70,61143
322,174,2,1839,65268,65419,71,61143
323,171,2,1840,65267,65416,72,61143
324,172,65535,1838,65265,65415,74,61143
325,169,1,1837,65265,65415,70,61145
326,171,2,1839,65266,65416,70,61146
327,174,0,1840,65268,65417,69,61145
328,170,0,1838,65268,65419,76,61144
329,170,2,1837,65267,65420,75,61142
330,172,0,1839,65266,65416,74,61145
331,169,1,1839,65264,65413,76,61146
332,170,1,1839,65266,65418,74,61145
333,171,0,1839,65264,65416,77,61143
334,168,0,1840,65266,65418,73,61146
335,168,65535,1842,65266,65415,74,61143
336,173,65535,1840,65267,65417,70,61142
337,173,2,1839,65266,65418,73,61145
338,171,0,1839,65263,65418,73,61146
339,173,65533,1839,65262,65418,75,61145
340,170,2,1840,65264,65415,72,61145
341,169,1,1838,65266,65414,76,61145
342,173,2,1836,65264,65417,72,61148
343,172,2,1836,65264,65416,78,61143
344,172,0,1838,65264,65416,76,61144
345,173,0,1838,65265,65415,74,61147
346,172,3,1839,65266,65415,69,61144
347,171,65534,1838,65268,65415,72,61144
348,170,65535,1838,65266,65412,72,61143
349,172,3,1840,65266,65415,74,61144
350,173,2,1839,65264,65415,72,61142
351,173,65535,1838,65267,65416,70,61145
352,170,2,1837,65269,65418,71,61145
353,170,0,1841,65267,65419,75,61145
354,172,0,1839,65269,65416,73,61144
355,173,2,1840,65266,65415,72,61147
356,172,2,1841,65269,65412,71,61144
357,169,0,1841,65267,65416,69,61145
358,171,1,1842,65266,65416,68,61144
359,173,1,1840,65265,65413,70,61148
360,171,0,1841,65262,65412,70,61147
361,171,65535,1840,65265,65414,75,61147
362,174,2,1843,65270,65416,72,61151
363,171,1,1844,65266,65414,73,61149
364,172,0,1839,65266,65418,71,61150
365,172,65535,1836,65266,65413,72,61151
366,171,0,1835,65266,65414,70,61152
367,171,1,1838,65268,65416,73,61148
368,170,65533,1838,65266,65417,68,61147
369,170,3,1838,65269,65417,73,61148
370,171,2,1837,65268,65417,74,61147
371,171,0,1837,65266,65419,77,61143
372,171,65535,1839,65266,65418,75,61144
373,172,2,1840,65267,65416,72,61146
374,173,65535,1839,65267,65416,72,61147
375,171,0,1837,65266,65416,72,61148
376,173,0,1839,65265,65415,72,61149
377,170,1,1839,65266,65417,71,61149
378,169,65534,1840,65264,65411,71,61146
379,172,65534,1841,65266,65412,71,61149
380,173,2,1841,65267,65413,71,61152
381,173,0,1839,65268,65414,73,61147
382,173,2,1841,65267,65417,73,61148
383,169,1,1843,65267,65416,70,61149
384,170,65535,1844,65265,65416,71,61148
385,172,1,1842,65265,65413,71,61147
386,171,3,1840,65265,65414,70,61147
387,173,1,1841,65265,65417,72,61147
388,173,0,1841,65265,65417,71,61145
389,173,2,1837,65267,65417,74,61147
390,173,1,1840,65264,65417,72,61147
391,170,0,1841,65265,65418,68,61146
392,170,0,1839,65267,65417,70,61146
393,172,0,1839,65266,65417,74,61147
394,171,0,1840,65266,65415,79,61147
395,173,2,1839,65265,65415,73,61150
396,171,65535,1839,65267,65415,71,61150
397,172,65535,1838,65266,65415,75,61149
398,171,0,1841,65264,65415,78,61147
399,170,2,1841,65264,65416,76,61150
400,171,1,1842,65268,65417,75,61149
401,172,65535,1839,65270,65415,72,61145
402,172,0,1839,65268,65417,73,61147
403,172,1,1840,65265,65416,69,61150
404,172,3,1839,65270,65414,73,61149
405,175,3,1840,65267,65419,71,61150
406,171,1,1841,65268,65417,73,61149
407,169,1,1840,65267,65419,71,61150
408,172,3,1841,65267,65416,74,61149
409,170,1,1839,65268,65418,71,61148
410,170,65535,1838,65265,65416,72,61149
411,173,65535,1837,65266,65414,71,61149
412,173,1,1839,65266,65414,76,61147
413,174,2,1839,65266,65416,74,61150
414,172,0,1840,65265,65417,76,61148
415,171,4,1843,65267,65417,75,61151
416,172,0,1841,65266,65418,75,61152
417,174,2,1841,65267,65417,76,61152
418,173,4,1838,65269,65414,77,61150
419,169,65534,1842,65268,65414,74,61152
420,171,1,1841,65269,65414,74,61156
421,171,4,1840,65268,65413,73,61153
422,172,0,1839,65266,65414,75,61154
423,172,65535,1840,65269,65415,74,61154
424,171,1,1838,65268,65419,78,61155
425,175,1,1841,65265,65421,74,61154
426,173,0,1839,65268,65415,71,61156
427,169,1,1838,65266,65416,75,61153
428,173,2,1841,65265,65418,75,61154
429,172,1,1839,65264,65419,73,61154
430,170,2,1840,65268,65416,71,61154
431,172,2,1841,65266,65417,75,61151
432,169,1,1840,65270,65416,76,61150
433,171,0,1838,65269,65417,76,61149
434,174,2,1840,65269,65417,75,61148
435,173,3,1840,65268,65415,76,61151
436,171,0,1841,65264,65414,72,61154
437,171,3,1841,65263,65416,75,61154
438,172,1,1839,65266,65416,75,61154
439,173,1,1840,65263,65415,68,61151
440,171,1,1837,65264,65416,74,61151
441,172,2,1841,65266,65417,72,61150
442,172,2,1842,65266,65416,74,61150
443,172,2,1840,65266,65415,73,61154
444,173,1,1840,65268,65415,72,61152
445,172,1,1839,65265,65410,70,61153
446,169,1,1840,65265,65412,73,61153
447,170,2,1837,65265,65414,69,61155
448,172,0,1838,65263,65417,73,61152
449,174,1,1836,65266,65418,71,61150
450,170,65534,1840,65265,65416,70,61153
451,172,1,1839,65267,65419,71,61154
452,172,1,1841,65266,65416,75,61152
453,172,65535,1839,65265,65414,73,61153
454,172,65534,1840,65268,65418,74,61155
455,172,2,1838,65269,65417,72,61153
456,173,2,1841,65265,65421,73,61154
457,172,0,1840,65267,65417,69,61156
458,170,65535,1837,65266,65417,69,61157
459,171,0,1839,65265,65414,72,61155
460,173,0,1839,65264,65416,76,61154
461,171,1,1841,65263,65414,70,61154
