,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,4315,6,-856,-4633,23,-361,-144,131
1,4324,-6,-838,-4634,23,-349,-165,148
2,4323,10,-847,-4636,23,-350,-157,142
3,4312,-13,-856,-4640,23,-342,-149,147
4,4311,2,-851,-4636,23,-344,-153,150
5,4324,4,-844,-4636,23,-334,-166,142
6,4308,-1,-838,-4617,23,-342,-156,140
7,4317,-15,-856,-4650,23,-346,-147,150
8,4316,6,-852,-4625,23,-343,-161,132
9,4318,2,-853,-4632,23,-347,-134,136
10,4318,13,-838,-4640,23,-357,-152,136
11,4318,2,-841,-4648,23,-351,-168,140
12,4312,3,-864,-4627,23,-345,-143,126
13,4333,14,-852,-4626,23,-335,-149,153
14,4321,18,-853,-4619,23,-353,-148,139
15,4317,1,-844,-4636,23,-350,-150,140
16,4327,-1,-837,-4636,23,-359,-153,133
17,4324,-10,-844,-4625,23,-352,-150,151
18,4320,2,-860,-4637,23,-346,-153,148
19,4321,14,-848,-4629,23,-348,-137,129
20,4328,1,-843,-4633,23,-339,-128,144
21,4320,-11,-872,-4639,23,-350,-148,142
22,4329,3,-846,-4640,23,-341,-143,140
23,4336,9,-836,-4637,23,-349,-147,136
24,4315,2,-826,-4620,23,-351,-129,134
25,4330,12,-841,-4634,23,-350,-148,138
26,4316,22,-844,-4632,23,-353,-152,141
27,4314,5,-833,-4621,23,-352,-153,143
28,4319,9,-842,-4633,23,-346,-148,149
29,4318,-9,-858,-4630,23,-359,-148,150
30,4298,23,-837,-4626,23,-339,-146,134
31,4321,-6,-852,-4628,23,-354,-167,156
32,4314,-15,-838,-4641,23,-352,-152,138
33,4323,-8,-852,-4630,23,-341,-158,146
34,4318,-4,-851,-4637,23,-357,-151,137
35,4327,12,-830,-4628,23,-351,-156,143
36,4311,21,-844,-4625,23,-332,-140,128
37,4306,1,-829,-4638,23,-344,-149,149
38,4315,4,-850,-4638,23,-346,-134,135
39,4306,12,-859,-4635,23,-341,-154,129
40,4317,22,-842,-4634,23,-354,-145,151
41,4320,-3,-837,-4640,23,-344,-152,140
42,4321,6,-835,-4633,23,-335,-149,137
43,4324,2,-839,-4633,23,-348,-170,141
44,4312,-11,-845,-4639,23,-348,-139,141
45,4326,5,-835,-4628,23,-350,-152,140
46,4312,12,-855,-4632,23,-351,-137,139
47,4314,2,-875,-4631,23,-339,-148,145
48,4327,-10,-835,-4628,23,-357,-136,135
49,4313,10,-872,-4624,23,-355,-144,149
50,4303,4,-836,-4634,23,-344,-144,139
51,4325,1,-881,-4635,23,-353,-148,156
52,4312,-5,-843,-4632,23,-351,-161,124
53,4310,12,-846,-4629,23,-339,-157,133
54,4330,4,-852,-4629,23,-346,-150,146
55,4329,-3,-853,-4638,23,-342,-148,139
56,4306,-8,-842,-4628,23,-363,-157,135
57,4323,12,-857,-4631,23,-339,-155,143
58,4317,2,-867,-4631,23,-357,-147,132
59,4313,5,-855,-4636,23,-354,-146,139
60,4318,-1,-844,-4625,23,-346,-141,124
