,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,2176,-1,-145,-4724,23,-44,-21,17
1,2175,-3,-147,-4721,23,-44,-21,17
2,2176,-1,-149,-4722,23,-43,-21,17
3,2176,-3,-149,-4724,23,-44,-20,17
4,2177,-4,-148,-4720,23,-44,-21,17
5,2178,-2,-148,-4722,23,-44,-21,17
6,2176,0,-145,-4718,23,-43,-21,17
7,2178,0,-145,-4717,23,-44,-21,17
8,2179,2,-143,-4721,23,-43,-21,17
9,2178,1,-142,-4718,23,-44,-20,17
10,2179,1,-143,-4720,23,-44,-21,17
11,2178,0,-146,-4722,23,-44,-20,17
12,2177,1,-144,-4719,23,-44,-21,17
13,2179,0,-149,-4716,23,-44,-21,17
14,2180,0,-148,-4716,23,-44,-20,17
15,2178,2,-152,-4716,23,-44,-20,18
16,2178,1,-148,-4721,23,-44,-20,17
17,2177,1,-145,-4720,23,-43,-20,17
18,2176,2,-143,-4722,23,-44,-20,18
19,2175,1,-141,-4723,23,-44,-20,18
20,2177,0,-146,-4724,23,-44,-20,17
21,2178,0,-144,-4725,23,-44,-20,17
22,2178,0,-146,-4721,23,-44,-20,17
23,2179,3,-150,-4725,23,-43,-20,17
24,2179,1,-148,-4725,23,-43,-20,17
25,2177,3,-148,-4725,23,-43,-20,17
26,2178,1,-146,-4723,23,-43,-20,17
27,2178,-1,-149,-4720,23,-43,-20,17
28,2178,-1,-149,-4720,23,-43,-19,17
29,2177,1,-151,-4721,23,-43,-19,17
30,2176,0,-149,-4721,23,-43,-19,18
31,2177,0,-148,-4722,23,-43,-19,17
32,2178,-1,-150,-4719,23,-43,-19,17
33,2179,-2,-150,-4720,23,-43,-19,17
34,2180,-1,-149,-4719,23,-43,-19,17
35,2179,0,-147,-4718,23,-43,-19,17
36,2178,-2,-146,-4720,23,-43,-19,17
37,2176,-1,-144,-4721,23,-43,-19,17
38,2176,-1,-144,-4724,23,-43,-20,17
39,2177,-1,-144,-4723,23,-44,-20,17
40,2174,-2,-144,-4722,23,-44,-20,17
41,2174,-2,-147,-4721,23,-44,-20,17
42,2174,-3,-146,-4720,23,-44,-20,17
43,2178,-2,-147,-4720,23,-43,-20,17
44,2179,-3,-147,-4719,23,-44,-21,17
45,2178,-2,-147,-4717,23,-43,-21,17
46,2176,-2,-149,-4719,23,-43,-20,17
47,2177,-2,-148,-4722,23,-43,-20,17
48,2177,-1,-148,-4725,23,-43,-20,17
49,2180,0,-148,-4728,23,-43,-20,18
50,2180,0,-148,-4726,23,-43,-20,18
51,2177,0,-146,-4725,23,-43,-20,18
52,2176,0,-146,-4723,23,-44,-20,18
53,2176,-1,-147,-4723,23,-44,-20,17
54,2176,1,-146,-4724,23,-44,-20,18
55,2179,2,-147,-4723,23,-44,-21,18
56,2177,0,-145,-4723,23,-44,-20,17
57,2179,0,-146,-4722,23,-43,-20,17
58,2178,0,-144,-4722,23,-43,-20,17
59,2179,1,-145,-4725,23,-44,-20,17
60,2180,0,-145,-4724,23,-44,-20,17
61,2179,1,-148,-4726,23,-44,-19,17
62,2178,0,-149,-4724,23,-44,-20,17
63,2177,0,-148,-4720,23,-43,-20,17
64,2179,0,-147,-4718,23,-43,-20,17
65,2179,-2,-149,-4719,23,-43,-20,17
66,2179,0,-149,-4719,23,-43,-19,18
67,2177,4,-149,-4721,23,-44,-19,18
68,2177,2,-151,-4720,23,-43,-19,18
69,2177,-1,-150,-4720,23,-43,-19,18
70,2179,-3,-147,-4723,23,-43,-20,18
71,2180,-5,-147,-4721,23,-43,-20,17
72,2177,-4,-145,-4722,23,-43,-19,17
73,2177,-4,-146,-4724,23,-43,-19,18
74,2177,-3,-147,-4725,23,-43,-19,17
75,2179,-1,-148,-4721,23,-43,-19,17
76,2179,-1,-149,-4721,23,-43,-20,17
77,2178,-3,-147,-4722,23,-43,-20,18
78,2179,-2,-146,-4723,23,-43,-20,17
79,2180,-2,-147,-4721,23,-43,-20,17
80,2178,-5,-146,-4720,23,-44,-20,18
81,2178,-5,-147,-4722,23,-43,-20,18
82,2178,-2,-147,-4724,23,-43,-20,17
83,2178,-2,-152,-4722,23,-43,-20,17
84,2178,-2,-150,-4721,23,-44,-20,18
85,2178,-4,-149,-4722,23,-44,-20,17
86,2178,-1,-145,-4724,23,-44,-20,17
87,2179,-1,-145,-4727,23,-43,-20,17
88,2179,0,-147,-4727,23,-44,-20,17
89,2180,0,-149,-4727,23,-44,-21,17
90,2180,2,-148,-4727,23,-43,-20,17
