,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8691,44,-968,-4385,24,-177,-74,75
1,8701,35,-967,-4383,24,-173,-77,76
2,8716,24,-1008,-4381,24,-172,-82,78
3,8711,40,-960,-4378,24,-178,-79,73
4,8711,-29,-967,-4387,24,-178,-78,71
5,8700,-7,-965,-4377,24,-173,-80,69
6,8667,7,-992,-4395,24,-175,-72,72
7,8702,-21,-953,-4389,24,-179,-81,71
8,8690,-23,-1008,-4382,24,-176,-81,71
9,8720,4,-964,-4388,24,-177,-78,72
10,8696,11,-948,-4382,24,-172,-81,70
11,8716,20,-957,-4384,24,-174,-75,63
12,8706,10,-976,-4386,24,-172,-78,72
13,8712,0,-965,-4386,24,-177,-80,74
14,8708,-12,-993,-4382,24,-170,-82,62
15,8711,1,-961,-4390,24,-175,-77,70
16,8695,-1,-921,-4385,24,-173,-86,70
17,8663,-10,-953,-4382,24,-173,-81,67
18,8710,-5,-955,-4382,24,-174,-82,67
19,8707,22,-987,-4386,24,-174,-79,68
20,8700,13,-1023,-4375,24,-178,-83,62
21,8701,-21,-1011,-4391,24,-178,-80,73
22,8676,-8,-1003,-4387,24,-173,-81,67
23,8737,2,-1014,-4381,24,-176,-81,74
24,8755,-23,-1022,-4394,24,-171,-81,73
25,8757,26,-1058,-4378,24,-171,-74,77
26,8764,52,-1092,-4380,24,-175,-73,79
27,8700,84,-1029,-4385,24,-178,-62,85
28,8700,81,-1097,-4381,24,-172,-56,89
29,8697,45,-1022,-4390,24,-173,-43,91
30,8700,79,-1022,-4390,24,-176,-49,96
31,8628,42,-1048,-4381,24,-174,-43,94
32,8657,61,-1003,-4379,24,-177,-55,85
33,8702,45,-1001,-4380,24,-183,-52,82
34,8702,7,-1045,-4381,24,-178,-42,85
35,8703,26,-997,-4374,24,-184,-48,89
36,8629,5,-989,-4387,24,-179,-38,90
37,8777,9,-929,-4371,24,-184,-40,94
38,8736,-43,-915,-4378,24,-184,-33,84
39,8701,-1,-926,-4390,24,-183,-42,90
40,8686,-63,-974,-4385,24,-181,-42,97
41,8679,12,-942,-4375,24,-176,-46,86
42,8674,-11,-934,-4382,24,-176,-47,81
43,8677,-23,-900,-4374,24,-179,-53,89
44,8673,-32,-875,-4383,24,-173,-48,74
45,8714,-51,-892,-4379,24,-178,-65,76
46,8734,-32,-886,-4383,24,-176,-60,76
47,8705,-40,-869,-4376,24,-177,-68,77
48,8748,-29,-916,-4377,24,-173,-68,80
49,8726,-38,-930,-4384,24,-169,-74,76
50,8714,-37,-960,-4385,24,-173,-62,79
51,8689,-35,-958,-4374,24,-170,-76,73
52,8647,-22,-916,-4374,24,-171,-76,76
53,8631,-28,-940,-4379,24,-181,-78,70
54,8662,-62,-906,-4370,24,-175,-84,61
55,8729,-28,-883,-4371,24,-174,-77,57
56,8725,-23,-899,-4377,24,-172,-82,60
57,8754,7,-934,-4380,24,-178,-83,52
58,8764,11,-933,-4380,24,-170,-97,64
59,8714,-22,-967,-4378,24,-170,-88,68
60,8700,36,-988,-4375,24,-175,-95,72
61,8691,-4,-974,-4394,24,-175,-90,62
62,8643,18,-980,-4383,24,-176,-99,69
63,8665,12,-1002,-4377,24,-173,-82,66
64,8717,-24,-1039,-4387,24,-181,-88,61
65,8732,16,-995,-4395,24,-182,-84,63
66,8699,-1,-956,-4382,24,-175,-90,57
67,8693,-11,-944,-4382,24,-171,-93,60
68,8705,-35,-968,-4381,24,-171,-86,64
69,8668,-15,-959,-4377,24,-172,-89,63
70,8732,8,-1005,-4390,24,-177,-84,67
71,8711,8,-1011,-4374,24,-175,-81,64
72,8707,-1,-1052,-4386,24,-176,-86,71
73,8715,25,-1027,-4384,24,-180,-73,65
74,8694,9,-982,-4381,24,-177,-79,68
75,8706,-23,-929,-4382,24,-176,-80,67
76,8721,29,-922,-4384,24,-175,-84,71
77,8710,9,-989,-4380,24,-176,-85,67
78,8709,19,-952,-4385,24,-171,-89,60
79,8726,-26,-925,-4388,24,-174,-92,68
80,8765,5,-988,-4382,24,-172,-81,67
81,8700,-1,-1064,-4384,24,-171,-77,73
82,8686,7,-1030,-4382,24,-169,-82,77
83,8680,31,-1025,-4383,24,-176,-80,72
84,8671,0,-993,-4377,24,-180,-71,77
85,8679,3,-974,-4373,24,-177,-64,76
86,8687,5,-1007,-4380,24,-179,-68,72
87,8700,13,-986,-4385,24,-170,-72,72
88,8714,11,-944,-4379,24,-166,-81,70
89,8730,-4,-1000,-4381,24,-170,-72,76
90,8716,-27,-1005,-4390,24,-166,-70,79
91,8685,-16,-1045,-4374,24,-174,-67,84
92,8695,-3,-982,-4382,24,-169,-72,81
93,8699,-20,-1023,-4389,24,-171,-56,82
94,8693,17,-999,-4388,24,-176,-58,84
95,8718,6,-944,-4392,24,-177,-57,82
96,8683,-22,-1002,-4381,24,-175,-65,81
97,8724,4,-888,-4376,24,-173,-58,76
98,8730,-20,-938,-4371,24,-177,-68,82
99,8729,-12,-933,-4379,24,-176,-54,80
100,8696,-19,-895,-4386,24,-174,-67,73
101,8697,1,-927,-4378,24,-171,-70,75
102,8688,-37,-940,-4392,24,-178,-74,69
103,8690,-29,-985,-4379,24,-169,-74,75
104,8726,-2,-980,-4376,24,-182,-82,70
105,8708,-42,-930,-4377,24,-176,-69,73
106,8739,-25,-888,-4368,24,-177,-67,73
107,8713,-28,-916,-4372,24,-176,-79,67
108,8675,-37,-902,-4381,24,-178,-80,65
109,8671,-14,-889,-4373,24,-179,-90,71
110,8724,11,-979,-4385,24,-177,-91,67
111,8723,-12,-994,-4378,24,-171,-89,67
112,8729,-9,-974,-4367,24,-176,-85,67
113,8705,15,-948,-4381,24,-171,-86,66
114,8687,1,-950,-4368,24,-175,-84,63
115,8701,-17,-962,-4385,24,-176,-94,66
116,8705,15,-930,-4378,24,-180,-92,65
117,8702,-16,-985,-4386,24,-171,-91,69
118,8688,32,-911,-4365,24,-176,-88,61
119,8681,6,-894,-4377,24,-177,-90,65
120,8707,-21,-962,-4379,24,-176,-90,65
121,8688,5,-976,-4387,24,-177,-95,63
122,8682,28,-921,-4375,24,-172,-90,67
123,8688,4,-1072,-4386,24,-170,-91,57
124,8718,9,-1052,-4368,24,-176,-96,67
125,8725,9,-1010,-4381,24,-170,-91,70
126,8677,36,-1035,-4373,24,-176,-82,70
127,8684,33,-1017,-4376,24,-172,-75,77
128,8715,-5,-1048,-4380,24,-174,-76,76
129,8717,41,-983,-4377,24,-179,-79,71
130,8709,-12,-972,-4371,24,-180,-73,75
131,8719,-6,-931,-4377,24,-180,-67,76
132,8704,27,-933,-4375,24,-177,-70,71
133,8713,-9,-948,-4382,24,-174,-76,79
134,8674,4,-1009,-4377,24,-172,-70,75
135,8699,-31,-1014,-4374,24,-175,-79,80
136,8684,16,-1022,-4380,24,-175,-72,74
137,8699,-8,-1031,-4378,24,-175,-75,76
138,8728,17,-954,-4380,24,-178,-66,74
139,8708,33,-949,-4382,24,-177,-66,80
140,8736,7,-967,-4374,24,-178,-69,72
141,8735,-20,-906,-4364,24,-174,-67,77
142,8711,-6,-920,-4371,24,-169,-70,77
143,8677,-10,-967,-4373,24,-173,-76,73
144,8683,18,-1002,-4381,24,-174,-74,68
145,8706,27,-980,-4367,24,-174,-69,77
146,8718,19,-979,-4379,24,-175,-73,70
147,8676,-11,-1006,-4382,24,-172,-78,72
148,8709,27,-947,-4379,24,-177,-69,78
149,8711,25,-950,-4368,24,-176,-67,75
150,8736,-13,-964,-4368,24,-178,-70,72
151,8727,-5,-929,-4387,24,-178,-71,72
152,8741,-28,-903,-4376,24,-176,-80,80
153,8670,-7,-946,-4367,24,-174,-72,68
154,8685,-25,-938,-4385,24,-171,-78,72
155,8684,-1,-975,-4385,24,-171,-82,70
156,8672,5,-995,-4370,24,-172,-74,68
157,8698,-6,-974,-4369,24,-179,-76,68
158,8716,18,-992,-4369,24,-174,-82,66
159,8714,-4,-937,-4374,24,-177,-79,71
160,8702,-3,-970,-4382,24,-176,-84,66
161,8717,12,-934,-4374,24,-180,-87,65
162,8740,-2,-978,-4373,24,-175,-86,70
163,8694,12,-1008,-4360,24,-172,-84,69
164,8711,5,-971,-4380,24,-172,-86,73
165,8705,1,-967,-4383,24,-175,-83,71
166,8670,-19,-992,-4379,24,-170,-87,60
167,8709,-30,-996,-4370,24,-169,-84,71
168,8686,1,-989,-4376,24,-171,-79,70
169,8674,-43,-980,-4378,24,-172,-80,66
170,8721,-43,-988,-4361,24,-175,-81,64
171,8706,-7,-951,-4379,24,-171,-83,66
172,8697,-37,-945,-4373,24,-178,-78,63
173,8705,-10,-965,-4377,24,-178,-86,67
174,8713,31,-988,-4370,24,-177,-79,68
175,8684,-1,-990,-4360,24,-168,-73,66
176,8693,25,-1022,-4379,24,-173,-79,67
177,8676,37,-930,-4382,24,-173,-75,65
178,8692,26,-989,-4374,24,-176,-83,73
179,8692,16,-967,-4381,24,-176,-67,74
180,8704,26,-997,-4389,24,-171,-72,67
181,8694,1,-951,-4366,24,-175,-76,78
182,8704,5,-978,-4373,24,-173,-76,75
183,8686,-17,-1010,-4381,24,-167,-71,69
184,8676,2,-973,-4368,24,-176,-69,71
185,8700,1,-1000,-4368,24,-171,-69,78
186,8661,-25,-955,-4369,24,-173,-67,78
187,8677,-26,-1009,-4384,24,-179,-71,72
188,8718,-8,-1017,-4370,24,-171,-67,73
189,8686,-14,-999,-4368,24,-172,-70,72
190,8703,34,-946,-4372,24,-176,-73,73
191,8723,3,-915,-4369,24,-177,-73,68
192,8717,-27,-946,-4384,24,-175,-75,72
193,8720,-25,-978,-4372,24,-173,-72,75
194,8697,-39,-958,-4379,24,-168,-77,76
195,8705,-18,-965,-4367,24,-170,-78,77
196,8723,19,-963,-4375,24,-179,-70,72
197,8729,-5,-973,-4371,24,-181,-79,76
198,8703,-7,-961,-4374,24,-179,-73,71
199,8685,-18,-921,-4375,24,-178,-75,70
200,8697,-21,-957,-4376,24,-177,-79,71
201,8707,-43,-990,-4370,24,-176,-76,69
202,8680,-1,-948,-4375,24,-174,-79,68
203,8728,-11,-933,-4368,24,-174,-91,68
204,8698,13,-950,-4388,24,-174,-87,69
205,8720,-17,-970,-4370,24,-171,-82,73
206,8700,2,-986,-4378,24,-173,-83,72
207,8700,3,-1021,-4371,24,-177,-75,65
208,8709,3,-969,-4370,24,-176,-79,67
209,8719,21,-971,-4381,24,-172,-82,70
210,8723,-9,-956,-4364,24,-172,-81,71
211,8717,-19,-959,-4370,24,-172,-68,61
212,8708,-4,-997,-4377,24,-168,-81,68
213,8692,-14,-1003,-4373,24,-176,-79,68
214,8702,-22,-990,-4373,24,-173,-79,62
215,8689,-29,-1000,-4372,24,-169,-82,73
216,8685,11,-1018,-4379,24,-176,-83,74
217,8735,8,-1004,-4369,24,-168,-81,74
218,8678,27,-967,-4386,24,-171,-77,73
219,8703,-25,-944,-4381,24,-182,-81,69
220,8676,-7,-965,-4371,24,-175,-77,70
221,8690,-20,-953,-4356,24,-175,-82,68
222,8723,-6,-975,-4377,24,-179,-84,78
223,8692,-3,-949,-4372,24,-173,-81,72
224,8671,12,-911,-4368,24,-175,-78,71
225,8726,-28,-940,-4381,24,-173,-84,70
226,8711,-20,-1011,-4375,24,-171,-80,74
227,8719,-12,-1005,-4376,24,-176,-73,70
228,8686,32,-1032,-4370,24,-180,-73,77
229,8692,-2,-1012,-4367,24,-170,-71,75
230,8703,-11,-986,-4368,24,-177,-66,72
231,8680,-36,-940,-4381,24,-175,-75,71
232,8736,23,-956,-4375,24,-177,-68,74
233,8711,-36,-943,-4374,24,-175,-75,69
234,8696,-8,-987,-4368,24,-167,-68,76
235,8718,28,-998,-4377,24,-175,-80,70
236,8711,-12,-1002,-4372,24,-174,-79,74
237,8673,-13,-993,-4366,24,-177,-79,73
238,8703,11,-916,-4378,24,-174,-82,75
239,8713,-5,-994,-4380,24,-177,-72,74
240,8709,-4,-916,-4382,24,-175,-80,72
241,8715,-1,-963,-4385,24,-177,-76,70
242,8710,-10,-933,-4377,24,-181,-78,72
243,8690,22,-1005,-4380,24,-176,-85,71
244,8695,2,-939,-4375,24,-172,-81,68
245,8719,5,-997,-4368,24,-177,-79,70
246,8738,6,-1019,-4373,24,-176,-82,70
247,8677,-10,-991,-4372,24,-182,-83,73
248,8693,-12,-954,-4382,24,-173,-80,73
249,8705,17,-927,-4384,24,-180,-79,67
250,8731,5,-945,-4370,24,-172,-79,73
251,8680,18,-959,-4376,24,-178,-84,71
252,8717,8,-955,-4373,24,-176,-83,72
253,8688,-11,-954,-4365,24,-171,-86,73
254,8712,-6,-959,-4377,24,-176,-82,67
255,8722,10,-981,-4381,24,-174,-79,75
256,8719,63,-998,-4377,24,-173,-88,64
257,8699,11,-1028,-4383,24,-179,-81,67
258,8698,35,-995,-4373,24,-178,-77,68
259,8707,-4,-970,-4364,24,-175,-82,72
260,8689,-6,-982,-4377,24,-176,-75,77
261,8693,4,-936,-4386,24,-169,-75,74
262,8704,-14,-991,-4389,24,-177,-77,71
263,8705,-3,-994,-4370,24,-174,-74,72
264,8690,9,-953,-4371,24,-174,-69,68
265,8694,-9,-933,-4381,24,-171,-67,72
266,8708,-18,-989,-4370,24,-177,-79,74
267,8708,-13,-952,-4380,24,-175,-71,73
268,8711,12,-916,-4382,24,-178,-76,71
269,8712,22,-987,-4379,24,-176,-75,71
270,8705,4,-965,-4375,24,-171,-70,75
271,8739,-16,-984,-4375,24,-170,-73,64
272,8713,-29,-958,-4380,24,-173,-74,74
273,8717,19,-999,-4372,24,-175,-70,75
274,8706,-3,-979,-4375,24,-177,-68,69
275,8681,1,-998,-4374,24,-177,-67,69
276,8689,-5,-996,-4371,24,-174,-75,68
277,8721,-21,-982,-4367,24,-176,-75,73
278,8686,14,-996,-4375,24,-176,-72,67
279,8703,5,-902,-4374,24,-173,-72,68
280,8715,-11,-971,-4374,24,-172,-75,72
281,8703,17,-951,-4380,24,-177,-77,75
282,8693,19,-959,-4372,24,-176,-75,68
283,8681,-15,-980,-4377,24,-174,-82,72
284,8702,-13,-960,-4371,24,-174,-76,74
285,8744,2,-977,-4372,24,-172,-74,74
286,8688,-14,-979,-4376,24,-177,-77,71
287,8710,-8,-991,-4375,24,-176,-76,74
288,8682,-18,-990,-4373,24,-177,-78,73
289,8701,22,-963,-4372,24,-178,-82,69
290,8694,-6,-931,-4367,24,-175,-79,67
291,8713,-12,-962,-4374,24,-175,-87,73
292,8729,-8,-948,-4377,24,-176,-81,74
293,8690,41,-938,-4380,24,-175,-75,69
294,8730,5,-977,-4379,24,-173,-82,73
295,8676,-1,-1006,-4368,24,-177,-77,72
296,8713,11,-927,-4371,24,-170,-78,71
297,8666,0,-942,-4372,24,-179,-78,71
298,8728,4,-976,-4373,24,-171,-79,67
299,8695,13,-932,-4381,24,-171,-77,77
300,8716,-4,-958,-4376,24,-172,-80,74
301,8690,-17,-956,-4373,24,-176,-82,64
302,8717,16,-990,-4372,24,-178,-75,67
303,8728,26,-1005,-4374,24,-172,-74,75
304,8709,-3,-964,-4368,24,-180,-74,71
305,8690,33,-982,-4379,24,-178,-76,71
306,8703,-3,-1018,-4371,24,-172,-81,73
307,8667,7,-1009,-4373,24,-177,-72,75
308,8690,4,-998,-4372,24,-176,-75,71
309,8722,8,-947,-4377,24,-187,-75,67
310,8714,22,-995,-4366,24,-169,-77,76
311,8711,-17,-960,-4371,24,-173,-75,71
312,8708,28,-989,-4379,24,-170,-78,74
313,8704,17,-932,-4368,24,-170,-73,68
314,8714,-26,-984,-4387,24,-172,-77,74
315,8718,7,-976,-4380,24,-171,-74,79
316,8702,-2,-937,-4373,24,-175,-74,75
317,8696,17,-969,-4377,24,-176,-79,68
318,8683,-17,-953,-4380,24,-177,-73,76
319,8712,-5,-932,-4380,24,-175,-76,75
320,8733,4,-970,-4379,24,-175,-76,73
321,8689,29,-945,-4371,24,-174,-80,76
322,8692,14,-995,-4369,24,-171,-75,68
323,8699,26,-955,-4382,24,-177,-76,71
324,8703,-6,-995,-4372,24,-174,-77,74
325,8667,1,-974,-4373,24,-173,-76,71
326,8692,22,-982,-4364,24,-174,-77,72
327,8703,1,-981,-4375,24,-175,-76,69
328,8708,-18,-950,-4368,24,-174,-80,71
329,8703,-8,-945,-4381,24,-174,-81,74
330,8676,-12,-950,-4372,24,-180,-72,69
331,8685,-5,-959,-4378,24,-172,-71,69
332,8698,-16,-943,-4378,24,-176,-78,68
333,8706,-26,-988,-4378,24,-176,-82,69
334,8719,21,-951,-4376,24,-174,-85,69
335,8702,-10,-999,-4381,24,-175,-77,71
336,8695,-5,-941,-4370,24,-171,-76,70
337,8717,-22,-925,-4373,24,-174,-74,72
338,8733,14,-974,-4393,24,-173,-79,75
339,8726,15,-1014,-4377,24,-175,-78,64
340,8703,-8,-985,-4372,24,-178,-78,70
341,8674,-22,-979,-4375,24,-169,-78,69
342,8712,-12,-996,-4378,24,-174,-75,69
343,8700,2,-974,-4377,24,-181,-77,68
344,8665,-26,-968,-4372,24,-178,-76,71
345,8716,-3,-991,-4377,24,-175,-73,75
