,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,8639,4,-1704,-4719,23,-173,-78,71
1,8639,1,-1704,-4719,23,-172,-77,70
2,8636,5,-1701,-4718,23,-173,-76,71
3,8633,7,-1707,-4718,23,-173,-76,70
4,8631,10,-1704,-4718,23,-171,-75,70
5,8632,15,-1713,-4717,23,-172,-75,69
6,8634,18,-1717,-4716,23,-172,-75,72
7,8635,13,-1720,-4717,23,-172,-75,71
8,8637,11,-1719,-4718,23,-173,-75,71
9,8632,12,-1717,-4717,23,-172,-76,70
10,8631,12,-1714,-4717,23,-173,-75,70
11,8628,9,-1717,-4718,23,-171,-77,69
12,8630,10,-1715,-4721,23,-171,-76,69
13,8634,14,-1715,-4722,23,-171,-77,69
14,8634,14,-1717,-4720,23,-171,-77,68
15,8632,19,-1716,-4720,23,-171,-76,70
16,8634,17,-1714,-4719,23,-172,-75,70
17,8630,15,-1713,-4720,23,-172,-76,69
18,8631,16,-1711,-4720,23,-173,-74,70
19,8637,18,-1717,-4720,23,-173,-75,69
20,8638,16,-1716,-4720,23,-173,-77,69
21,8639,16,-1715,-4719,23,-172,-77,69
22,8633,13,-1715,-4720,23,-172,-76,68
23,8633,8,-1721,-4719,23,-172,-76,69
24,8640,3,-1710,-4719,23,-171,-75,69
25,8640,5,-1709,-4720,23,-171,-75,69
26,8644,4,-1703,-4720,23,-170,-74,70
27,8642,6,-1706,-4720,23,-172,-75,70
28,8634,7,-1712,-4720,23,-172,-75,69
29,8636,7,-1710,-4719,23,-172,-74,69
30,8638,10,-1711,-4720,23,-172,-73,69
31,8643,15,-1711,-4718,23,-172,-74,69
32,8645,12,-1708,-4718,23,-172,-74,69
33,8648,12,-1716,-4717,23,-172,-74,69
34,8642,14,-1715,-4718,23,-171,-75,68
35,8638,14,-1708,-4717,23,-171,-75,68
36,8638,13,-1707,-4717,23,-172,-76,68
37,8638,13,-1709,-4717,23,-171,-77,69
38,8638,11,-1714,-4715,23,-172,-76,68
39,8637,11,-1720,-4714,23,-172,-76,68
40,8637,14,-1724,-4716,23,-173,-75,69
41,8636,10,-1727,-4717,23,-171,-76,69
42,8635,6,-1723,-4717,23,-172,-76,69
43,8632,5,-1725,-4718,23,-172,-76,68
44,8632,7,-1724,-4718,23,-172,-77,68
45,8627,2,-1726,-4719,23,-172,-76,68
46,8627,8,-1724,-4721,23,-171,-77,69
47,8630,8,-1717,-4722,23,-172,-77,69
48,8625,6,-1721,-4721,23,-172,-76,70
49,8625,3,-1722,-4721,23,-172,-77,70
50,8625,7,-1725,-4720,23,-170,-77,70
51,8625,4,-1720,-4719,23,-170,-76,70
52,8631,7,-1716,-4719,23,-170,-76,69
53,8632,11,-1726,-4720,23,-171,-77,69
54,8635,11,-1724,-4718,23,-172,-76,69
55,8636,10,-1722,-4719,23,-171,-76,68
56,8637,9,-1719,-4719,23,-171,-75,70
57,8639,5,-1714,-4718,23,-171,-75,70
58,8634,4,-1719,-4718,23,-172,-75,69
59,8628,2,-1712,-4720,23,-172,-75,68
60,8627,5,-1715,-4721,23,-173,-75,69
61,8631,1,-1710,-4722,23,-173,-75,70
62,8628,5,-1712,-4721,23,-173,-76,71
63,8629,1,-1711,-4720,23,-174,-76,72
64,8630,5,-1722,-4721,23,-175,-75,72
65,8634,8,-1718,-4719,23,-175,-76,71
66,8639,13,-1711,-4719,23,-175,-76,71
67,8640,18,-1710,-4721,23,-174,-76,70
68,8639,8,-1703,-4720,23,-174,-75,70
69,8641,13,-1707,-4720,23,-174,-75,69
70,8641,11,-1704,-4720,23,-175,-75,69
71,8642,11,-1707,-4718,23,-175,-75,69
72,8643,9,-1705,-4718,23,-174,-75,70
73,8635,11,-1708,-4717,23,-173,-75,70
74,8632,7,-1709,-4717,23,-173,-75,70
75,8630,11,-1707,-4718,23,-172,-75,70
76,8633,10,-1715,-4719,23,-172,-74,71
77,8630,9,-1708,-4720,23,-172,-74,70
78,8633,4,-1706,-4719,23,-172,-74,70
79,8634,11,-1705,-4718,23,-172,-75,71
80,8636,8,-1700,-4716,23,-172,-75,70
81,8638,8,-1704,-4718,23,-173,-74,70
82,8637,12,-1711,-4718,23,-174,-75,70
83,8635,14,-1710,-4718,23,-174,-74,70
84,8633,14,-1720,-4719,23,-174,-75,70
85,8631,15,-1709,-4719,23,-174,-76,71
86,8633,16,-1704,-4719,23,-174,-76,70
87,8634,13,-1708,-4719,23,-174,-77,70
88,8636,7,-1705,-4719,23,-173,-77,70
89,8637,7,-1705,-4721,23,-172,-77,69
90,8626,13,-1702,-4719,23,-172,-76,69
91,8622,9,-1699,-4718,23,-172,-78,70
92,8628,13,-1704,-4718,23,-172,-78,71
93,8627,9,-1700,-4718,23,-171,-77,71
94,8632,9,-1702,-4718,23,-171,-76,71
95,8633,11,-1702,-4717,23,-172,-76,72
96,8637,9,-1700,-4717,23,-173,-76,72
97,8644,7,-1702,-4716,23,-174,-76,71
98,8643,7,-1700,-4718,23,-173,-75,71
99,8638,7,-1705,-4719,23,-172,-74,71
100,8638,2,-1705,-4717,23,-174,-76,70
101,8637,6,-1700,-4717,23,-172,-75,70
102,8631,4,-1697,-4719,23,-171,-75,70
103,8636,7,-1701,-4721,23,-171,-76,69
104,8637,4,-1700,-4720,23,-170,-76,70
105,8636,7,-1706,-4719,23,-169,-74,71
106,8638,9,-1703,-4719,23,-170,-75,71
107,8638,8,-1714,-4719,23,-170,-74,71
108,8637,6,-1709,-4720,23,-171,-75,72
109,8635,4,-1711,-4718,23,-172,-76,71
110,8638,2,-1712,-4717,23,-173,-76,71
111,8641,2,-1711,-4718,23,-173,-76,71
112,8641,8,-1712,-4717,23,-173,-75,70
113,8639,5,-1703,-4718,23,-174,-75,70
114,8638,5,-1702,-4720,23,-174,-75,71
115,8639,6,-1711,-4719,23,-173,-75,70
116,8631,5,-1709,-4719,23,-174,-75,71
117,8630,-1,-1701,-4720,23,-173,-76,71
118,8628,0,-1703,-4720,23,-174,-76,70
119,8633,4,-1705,-4719,23,-174,-76,70
120,8629,6,-1705,-4717,23,-174,-76,69
121,8624,12,-1710,-4717,23,-173,-76,69
122,8628,10,-1711,-4716,23,-173,-76,69
123,8630,9,-1714,-4715,23,-172,-75,70
124,8626,8,-1704,-4717,23,-173,-75,71
125,8629,13,-1705,-4716,23,-174,-74,71
126,8631,12,-1705,-4715,23,-174,-75,70
127,8636,13,-1705,-4715,23,-175,-74,70
128,8642,15,-1706,-4716,23,-175,-74,70
129,8640,13,-1709,-4717,23,-174,-74,69
130,8640,10,-1712,-4720,23,-174,-75,69
131,8643,11,-1715,-4720,23,-172,-74,69
132,8644,6,-1711,-4721,23,-172,-75,68
133,8641,1,-1702,-4720,23,-172,-75,69
134,8637,-2,-1699,-4718,23,-171,-78,69
135,8640,-5,-1703,-4718,23,-171,-78,69
136,8640,-4,-1706,-4718,23,-171,-76,69
137,8638,-7,-1712,-4717,23,-171,-76,69
138,8637,-2,-1711,-4718,23,-172,-77,70
139,8635,-1,-1718,-4718,23,-171,-77,69
140,8642,-3,-1718,-4717,23,-171,-76,70
141,8641,3,-1715,-4718,23,-171,-75,68
142,8637,4,-1711,-4717,23,-173,-74,67
143,8641,7,-1708,-4717,23,-173,-75,67
144,8639,6,-1707,-4719,23,-174,-75,68
145,8639,8,-1715,-4719,23,-173,-76,70
146,8637,5,-1715,-4721,23,-173,-75,70
147,8632,8,-1713,-4722,23,-173,-76,68
148,8632,2,-1710,-4721,23,-173,-76,70
149,8629,2,-1707,-4721,23,-172,-76,70
150,8632,0,-1703,-4718,23,-174,-77,69
151,8636,-3,-1707,-4717,23,-173,-76,70
152,8635,-1,-1709,-4716,23,-173,-76,69
153,8635,0,-1703,-4718,23,-172,-76,70
