,acc_X,acc_Y,acc_Z,temp,tempC,gyr_X,gyr_Y,gyr_Z
0,-15182,18,712,-4663,23,-88,-38,35
1,-15156,-6,698,-4659,23,-89,-36,36
2,-15154,-34,676,-4661,23,-89,-38,36
3,-15154,-12,732,-4654,23,-87,-37,36
4,-15140,-14,754,-4659,23,-87,-37,34
5,-15114,-8,784,-4654,23,-88,-38,35
6,-15126,-4,788,-4661,23,-88,-38,33
7,-15156,-34,736,-4654,23,-87,-38,36
8,-15206,2,780,-4657,23,-86,-35,35
9,-15178,2,734,-4649,23,-88,-41,33
10,-15184,-52,690,-4655,23,-86,-40,34
11,-15160,-2,752,-4652,23,-89,-38,35
12,-15166,-14,796,-4651,23,-87,-38,35
13,-15158,36,786,-4654,23,-88,-37,34
14,-15132,10,734,-4649,23,-86,-36,32
15,-15160,-16,708,-4658,23,-87,-40,34
16,-15114,-40,776,-4652,23,-90,-41,34
17,-15116,4,798,-4650,23,-86,-39,32
18,-15144,8,748,-4654,23,-89,-36,35
19,-15206,16,746,-4644,23,-88,-40,35
20,-15156,6,784,-4645,23,-86,-39,35
21,-15170,-32,756,-4648,23,-88,-39,35
22,-15188,20,760,-4647,23,-88,-38,36
23,-15164,-8,754,-4654,23,-87,-40,34
24,-15180,-26,692,-4657,23,-86,-41,33
25,-15172,-38,724,-4656,23,-88,-39,32
26,-15170,-14,742,-4655,23,-87,-38,34
27,-15152,12,762,-4651,23,-89,-38,36
28,-15184,-38,698,-4662,23,-87,-39,37
29,-15200,2,752,-4659,23,-87,-39,33
30,-15132,-10,712,-4646,23,-87,-39,36
31,-15168,-28,682,-4650,23,-89,-38,34
32,-15142,10,746,-4661,23,-88,-39,36
33,-15196,-60,678,-4654,23,-90,-39,38
34,-15176,-4,712,-4651,23,-86,-40,35
35,-15190,-22,766,-4653,23,-87,-38,36
36,-15182,-44,770,-4653,23,-88,-41,33
37,-15120,10,704,-4655,23,-90,-42,34
38,-15146,-36,762,-4661,23,-88,-39,36
39,-15186,-16,768,-4648,23,-87,-39,36
40,-15174,-44,724,-4649,23,-87,-40,34
41,-15178,-46,754,-4661,23,-90,-39,37
42,-15120,-8,706,-4662,23,-90,-38,34
43,-15138,6,690,-4659,23,-89,-38,34
44,-15174,-16,746,-4657,23,-89,-39,35
45,-15214,-30,784,-4652,23,-86,-40,33
46,-15148,12,746,-4660,23,-86,-37,35
47,-15142,-36,756,-4663,23,-86,-38,34
48,-15174,-30,806,-4649,23,-86,-41,36
49,-15080,6,736,-4653,23,-88,-37,34
50,-15138,-24,746,-4653,23,-87,-39,35
51,-15166,-2,798,-4662,23,-89,-39,35
52,-15200,-14,734,-4658,23,-89,-38,34
53,-15150,0,770,-4658,23,-90,-38,34
54,-15124,0,770,-4659,23,-88,-40,35
55,-15142,-10,780,-4654,23,-85,-34,34
56,-15160,-8,760,-4657,23,-87,-38,33
57,-15160,12,762,-4652,23,-89,-38,35
58,-15140,-6,736,-4657,23,-88,-38,34
59,-15170,-20,726,-4654,23,-88,-39,36
60,-15170,-30,762,-4653,23,-89,-36,34
61,-15160,-14,744,-4650,23,-88,-39,32
62,-15156,-24,728,-4652,23,-87,-39,32
63,-15106,-44,748,-4652,23,-88,-40,37
64,-15118,-44,750,-4661,23,-88,-38,34
65,-15154,6,720,-4658,23,-88,-40,35
66,-15164,0,720,-4662,23,-88,-38,35
67,-15140,-44,726,-4650,23,-88,-39,36
68,-15182,-30,712,-4656,23,-86,-38,35
69,-15170,-46,742,-4656,23,-86,-41,34
70,-15146,10,830,-4649,23,-89,-41,33
71,-15188,-2,812,-4665,23,-88,-41,35
72,-15130,20,722,-4651,23,-88,-38,34
73,-15132,-22,728,-4654,23,-87,-36,36
74,-15166,8,732,-4654,23,-88,-38,34
75,-15196,-14,730,-4654,23,-90,-37,33
76,-15136,-44,766,-4666,23,-88,-37,36
77,-15114,-14,728,-4658,23,-87,-41,34
78,-15142,-8,798,-4657,23,-89,-39,33
79,-15158,-38,734,-4654,23,-87,-37,34
80,-15138,-34,790,-4653,23,-87,-38,31
81,-15190,12,724,-4651,23,-87,-39,34
82,-15142,-2,684,-4668,23,-89,-38,33
83,-15120,-26,764,-4655,23,-84,-38,34
84,-15164,28,688,-4657,23,-89,-37,35
85,-15146,26,696,-4658,23,-89,-38,32
86,-15172,-10,812,-4660,23,-91,-41,34
87,-15138,24,696,-4651,23,-89,-38,33
88,-15188,20,726,-4667,23,-87,-38,34
89,-15162,-20,742,-4657,23,-86,-40,35
90,-15144,-40,792,-4664,23,-87,-38,32
91,-15148,-28,780,-4657,23,-86,-39,36
92,-15108,16,746,-4645,23,-87,-35,35
93,-15136,-28,742,-4659,23,-89,-40,33
94,-15174,-14,788,-4653,23,-87,-40,36
95,-15208,-4,720,-4657,23,-88,-37,35
96,-15170,-12,706,-4661,23,-86,-36,35
97,-15156,-28,758,-4660,23,-85,-39,36
98,-15144,-68,760,-4661,23,-86,-39,36
99,-15130,-44,788,-4652,23,-86,-39,37
100,-15118,-26,776,-4649,23,-87,-40,34
101,-15130,-22,698,-4654,23,-89,-38,35
102,-15186,-10,730,-4661,23,-88,-39,34
103,-15188,2,752,-4666,23,-91,-37,36
104,-15220,-40,718,-4655,23,-87,-39,36
105,-15180,-6,738,-4655,23,-89,-40,33
106,-15128,-12,742,-4662,23,-88,-38,34
107,-15116,14,782,-4651,23,-89,-37,36
108,-15182,-76,712,-4652,23,-90,-36,32
109,-15166,-24,734,-4646,23,-88,-38,35
110,-15184,-2,742,-4648,23,-86,-37,33
111,-15160,-40,694,-4654,23,-87,-40,33
112,-15106,-20,790,-4656,23,-88,-41,35
113,-15144,-12,688,-4653,23,-87,-39,34
114,-15154,-22,708,-4653,23,-86,-40,36
115,-15138,12,676,-4657,23,-89,-40,35
116,-15178,-40,730,-4662,23,-87,-39,36
117,-15088,-32,706,-4656,23,-88,-38,36
118,-15116,-42,790,-4653,23,-88,-38,34
119,-15164,-30,710,-4651,23,-87,-39,34
120,-15152,-26,696,-4651,23,-88,-39,33
121,-15156,4,750,-4660,23,-86,-39,36
122,-15184,-46,754,-4661,23,-88,-42,35
123,-15196,0,794,-4658,23,-89,-40,34
124,-15150,-16,740,-4651,23,-87,-40,36
125,-15172,-58,760,-4655,23,-90,-36,35
126,-15190,-10,772,-4652,23,-84,-37,35
127,-15154,-40,722,-4655,23,-89,-38,37
128,-15186,-50,738,-4663,23,-87,-38,35
129,-15130,-4,782,-4660,23,-89,-37,35
130,-15108,-52,666,-4654,23,-86,-37,34
131,-15144,-76,758,-4651,23,-86,-36,34
132,-15190,12,760,-4652,23,-87,-39,33
133,-15204,2,748,-4661,23,-86,-38,35
134,-15132,-22,732,-4658,23,-88,-38,33
135,-15164,10,730,-4659,23,-86,-37,35
136,-15140,-14,814,-4662,23,-89,-39,36
