,humidity,temperature,CO2,TVOC,CCTEMP,time
158,47.0,25.8,438.0,5.0,25.8,0.8709084987640381
159,45.0,25.0,433.0,5.0,25.8,1.8930394649505615
160,45.0,25.0,423.0,3.0,25.8,2.8601996898651123
161,45.0,25.0,425.0,3.0,25.8,3.8556296825408936
162,44.0,25.0,427.0,4.0,25.8,4.87248682975769
163,44.0,25.0,428.0,4.0,28.96,5.8413918018341064
164,44.0,25.0,1352.0,145.0,25.8,6.836629867553711
165,42.0,24.8,6117.0,870.0,26.41,7.857435464859009
166,42.0,24.8,5734.0,812.0,27.67,8.825624704360962
167,42.0,24.8,4444.0,616.0,26.41,9.819802522659302
168,95.0,25.3,4158.0,572.0,25.8,10.838414192199707
169,95.0,25.3,2576.0,331.0,26.41,11.805572986602783
170,95.0,25.3,5734.0,812.0,26.41,12.799920320510864
171,95.0,25.9,7992.0,1156.0,26.41,13.820014238357544
172,95.0,25.9,7992.0,1156.0,26.41,14.786529779434204
173,95.0,25.9,7992.0,1156.0,26.41,15.779675960540771
174,95.0,26.1,7992.0,1156.0,26.41,16.797858238220215
175,95.0,26.1,6117.0,870.0,25.8,17.767882823944092
176,95.0,26.1,7215.0,1038.0,26.41,18.76195764541626
177,95.0,26.5,5934.0,843.0,26.41,19.778691053390503
178,95.0,26.5,6424.0,917.0,27.04,20.747180223464966
179,95.0,26.5,5016.0,703.0,27.04,21.740343809127808
180,95.0,27.2,4626.0,643.0,25.8,22.76046347618103
181,95.0,27.2,4319.0,597.0,27.04,23.7298424243927
182,95.0,27.2,4504.0,625.0,27.04,24.719428300857544
183,95.0,27.7,4626.0,643.0,27.04,25.74025273323059
184,95.0,27.7,4693.0,654.0,27.04,26.710058450698853
185,95.0,27.7,2900.0,380.0,27.04,27.70027780532837
186,95.0,27.9,1659.0,191.0,27.04,28.721885204315186
187,95.0,27.9,1420.0,155.0,27.04,29.68937349319458
188,95.0,27.9,982.0,88.0,27.04,30.681447744369507
189,95.0,28.4,807.0,62.0,27.04,31.700834035873413
190,95.0,28.4,885.0,73.0,27.04,32.66772270202637
191,95.0,28.4,820.0,63.0,27.04,33.662532806396484
192,95.0,28.2,880.0,73.0,27.04,34.67948269844055
193,95.0,28.2,807.0,62.0,27.04,35.64937210083008
194,95.0,28.2,742.0,52.0,27.67,36.64345049858093
195,95.0,28.1,816.0,63.0,27.04,37.659993171691895
196,95.0,28.1,640.0,36.0,27.04,38.629618406295776
197,95.0,28.1,566.0,25.0,27.04,39.622859716415405
198,95.0,27.5,537.0,20.0,27.04,40.64195370674133
199,95.0,27.5,529.0,19.0,27.04,41.609421253204346
200,95.0,27.5,525.0,19.0,26.41,42.60266423225403
201,95.0,27.3,503.0,15.0,27.04,43.62218999862671
202,95.0,27.3,496.0,14.0,26.41,44.58798360824585
203,95.0,27.3,492.0,14.0,27.04,45.582030296325684
204,95.0,27.1,483.0,12.0,26.41,46.60287070274353
205,95.0,27.1,483.0,12.0,26.41,47.56878471374512
206,95.0,27.1,483.0,12.0,26.41,48.56553411483765
207,95.0,26.8,481.0,12.0,26.41,49.5827853679657
208,95.0,26.8,477.0,11.0,26.41,50.55224132537842
209,95.0,26.8,472.0,10.0,26.41,51.546042680740356
210,95.0,26.6,471.0,10.0,26.41,52.56380105018616
211,95.0,26.6,477.0,11.0,26.41,53.53312563896179
212,95.0,26.6,483.0,12.0,26.41,54.52500128746033
213,95.0,26.4,487.0,13.0,26.41,55.54508185386658
214,95.0,26.4,556.0,23.0,26.41,56.51431179046631
215,95.0,26.4,591.0,29.0,25.8,57.50707006454468
216,95.0,26.1,585.0,28.0,26.41,58.526081800460815
217,95.0,26.1,553.0,23.0,25.8,59.49418044090271
218,95.0,26.1,529.0,19.0,25.8,60.485929012298584
219,95.0,26.1,529.0,19.0,25.8,61.50732445716858
220,95.0,26.1,539.0,21.0,25.8,62.476224184036255
221,95.0,26.1,542.0,21.0,25.8,63.4656720161438
222,78.0,26.0,537.0,20.0,25.8,64.48708820343018
223,78.0,26.0,507.0,16.0,25.8,65.45735001564026
224,78.0,26.0,520.0,18.0,25.8,66.44932246208191
225,68.0,26.1,537.0,20.0,25.8,67.46827912330627
226,68.0,26.1,534.0,20.0,25.8,68.435786485672
227,68.0,26.1,520.0,18.0,25.8,69.43124461174011
228,58.0,25.9,515.0,17.0,25.8,70.44593214988708
229,58.0,25.9,497.0,14.0,25.8,71.41841292381287
230,58.0,25.9,490.0,13.0,25.8,72.4111819267273
231,54.0,26.0,487.0,13.0,25.8,73.42770791053772
232,54.0,26.0,481.0,12.0,25.8,74.39848279953003
233,54.0,26.0,486.0,13.0,25.8,75.39322590827942
234,52.0,25.9,487.0,13.0,25.8,76.40967392921448
235,52.0,25.9,487.0,13.0,25.8,77.3807544708252
236,52.0,25.9,486.0,13.0,25.8,78.37462401390076
237,46.0,25.9,480.0,12.0,25.8,79.3918468952179
238,46.0,25.9,481.0,12.0,25.8,80.35816502571106
239,46.0,25.9,487.0,13.0,25.8,81.35494327545166
240,45.0,26.0,493.0,14.0,25.8,82.37308526039124
241,45.0,26.0,500.0,15.0,25.8,83.33892154693604
242,45.0,26.0,502.0,15.0,25.8,84.33482480049133
243,44.0,25.7,493.0,14.0,25.8,85.35468745231628
244,44.0,25.7,483.0,12.0,25.8,86.32181310653687
245,44.0,25.7,477.0,11.0,25.8,87.31563758850098
246,44.0,25.6,466.0,10.0,25.8,88.3353009223938
247,44.0,25.6,463.0,9.0,25.8,89.30262494087219
248,44.0,25.6,457.0,8.0,25.0,90.29756999015808
249,44.0,25.8,459.0,8.0,25.0,91.3156988620758
250,44.0,25.8,456.0,8.0,25.8,92.28408932685852
251,44.0,25.8,454.0,8.0,25.0,93.27733612060547
252,42.0,25.8,451.0,7.0,25.0,94.29049801826477
253,42.0,25.8,448.0,7.0,25.0,95.26508498191833
254,42.0,25.8,447.0,7.0,25.0,96.25816583633423
255,41.0,25.9,445.0,6.0,25.0,97.27832341194153
256,41.0,25.9,445.0,6.0,25.0,98.24723219871521
257,41.0,25.9,443.0,6.0,25.0,99.23752498626709
258,41.0,25.8,442.0,6.0,25.0,100.2582528591156
259,41.0,25.8,447.0,7.0,25.0,101.22740364074707
260,41.0,25.8,454.0,8.0,25.0,102.22064876556396
261,41.0,25.9,448.0,7.0,25.0,103.24026608467102
262,41.0,25.9,451.0,7.0,25.0,104.20701932907104
263,41.0,25.9,447.0,7.0,25.0,105.20291757583618
264,41.0,25.3,443.0,6.0,25.0,106.22122001647949
265,41.0,25.3,443.0,6.0,25.0,107.18659973144531
266,41.0,25.3,442.0,6.0,25.0,108.18218874931335
267,41.0,25.2,448.0,7.0,25.0,109.20113348960876
268,41.0,25.2,447.0,7.0,25.0,110.17099499702454
269,41.0,25.2,445.0,6.0,25.0,111.16404700279236
270,41.0,25.4,442.0,6.0,25.0,112.18251061439514
271,41.0,25.4,438.0,5.0,25.0,113.150141954422
272,41.0,25.4,438.0,5.0,25.0,114.1439254283905
273,40.0,25.1,433.0,5.0,25.0,115.16397643089294
274,40.0,25.1,433.0,5.0,25.0,116.1294367313385
275,40.0,25.1,433.0,5.0,25.0,117.12508416175842
276,40.0,25.9,433.0,5.0,25.0,118.14522576332092
277,40.0,25.9,438.0,5.0,25.0,119.11326289176941
