,humidity,Temperature DHT11,CO2,TVOC,Temperature CCS811,time,exp
0,47.0,25.8,438.0,5.0,25.8,0.8709084987640381,317994.4616036237
1,45.0,25.0,433.0,5.0,25.8,1.8930394649505613,276052.2487609803
2,45.0,25.0,423.0,3.0,25.8,2.8601996898651123,241472.5816655801
3,45.0,25.0,425.0,3.0,25.8,3.8556296825408936,210400.50685577982
4,44.0,25.0,427.0,4.0,25.8,4.87248682975769,182784.63278112406
5,44.0,25.0,428.0,4.0,28.96,5.841391801834106,159851.2259518754
6,44.0,25.0,1352.0,145.0,25.8,6.836629867553711,139287.417461909
7,42.0,24.8,6117.0,870.0,26.41,7.857435464859009,120941.09781241999
8,42.0,24.8,5734.0,812.0,27.67,8.825624704360962,105779.17484627021
9,42.0,24.8,4444.0,616.0,26.41,9.819802522659302,92186.6414700121
10,95.0,25.3,4158.0,572.0,25.8,10.838414192199709,80070.30552878852
11,95.0,25.3,2576.0,331.0,26.41,11.805572986602783,70043.87550713908
12,95.0,25.3,5734.0,812.0,26.41,12.799920320510864,61043.603359241126
13,95.0,25.9,7992.0,1156.0,26.41,13.820014238357544,53011.38889718163
14,95.0,25.9,7992.0,1156.0,26.41,14.786529779434204,46379.10406055464
15,95.0,25.9,7992.0,1156.0,26.41,15.779675960540771,40428.08247922262
16,95.0,26.1,7992.0,1156.0,26.41,16.797858238220215,35119.549525762086
17,95.0,26.1,6117.0,870.0,25.8,17.767882823944092,30712.513365031653
18,95.0,26.1,7215.0,1038.0,26.41,18.76195764541626,26770.011707044807
19,95.0,26.5,5934.0,843.0,26.41,19.778691053390503,23261.325625641402
20,95.0,26.5,6424.0,917.0,27.04,20.74718022346497,20348.35064578102
21,95.0,26.5,5016.0,703.0,27.04,21.740343809127808,17740.242199381588
22,95.0,27.2,4626.0,643.0,25.8,22.76046347618103,15409.634253628024
23,95.0,27.2,4319.0,597.0,27.04,23.7298424243927,13479.951342172557
24,95.0,27.2,4504.0,625.0,27.04,24.719428300857544,11759.721597786518
