,TIME,CH1,CH2,Unnamed: 3,TIME.1,MATH<CH1-CH2>,file
0,-0.004888,2.52,2.52,,-0.004888,0.0,250000.csv
1,-0.004887,2.52,2.56,,-0.004887,-0.04,250000.csv
2,-0.004886,2.52,2.56,,-0.004886,-0.04,250000.csv
3,-0.004885,2.48,2.48,,-0.004885,0.0,250000.csv
4,-0.004884,2.52,2.52,,-0.004884,0.0,250000.csv
5,-0.004883,2.52,2.52,,-0.004883,0.0,250000.csv
6,-0.004882,2.48,2.52,,-0.004882,-0.04,250000.csv
7,-0.004881,2.52,2.48,,-0.004881,0.04,250000.csv
8,-0.00488,2.52,2.52,,-0.00488,0.0,250000.csv
9,-0.004879,2.52,2.52,,-0.004879,0.0,250000.csv
10,-0.004878,2.52,2.52,,-0.004878,0.0,250000.csv
11,-0.004877,2.52,2.52,,-0.004877,0.0,250000.csv
12,-0.004876,2.52,2.52,,-0.004876,0.0,250000.csv
13,-0.004875,2.52,2.52,,-0.004875,0.0,250000.csv
14,-0.004874,2.52,2.48,,-0.004874,0.04,250000.csv
15,-0.004873,2.52,2.52,,-0.004873,0.0,250000.csv
16,-0.004872,2.52,2.52,,-0.004872,0.0,250000.csv
17,-0.004871,2.52,2.52,,-0.004871,0.0,250000.csv
18,-0.00487,2.52,2.48,,-0.00487,0.04,250000.csv
19,-0.004869,2.56,2.52,,-0.004869,0.04,250000.csv
20,-0.004868,2.52,2.52,,-0.004868,0.0,250000.csv
21,-0.004867,2.52,2.52,,-0.004867,0.0,250000.csv
22,-0.004866,2.52,2.52,,-0.004866,0.0,250000.csv
23,-0.004865,2.56,2.48,,-0.004865,0.08,250000.csv
24,-0.004864,2.52,2.52,,-0.004864,0.0,250000.csv
25,-0.004863,2.52,2.52,,-0.004863,0.0,250000.csv
26,-0.004862,2.52,2.52,,-0.004862,0.0,250000.csv
27,-0.004861,2.52,2.56,,-0.004861,-0.04,250000.csv
28,-0.00486,2.56,2.52,,-0.00486,0.04,250000.csv
29,-0.004859,2.52,2.52,,-0.004859,0.0,250000.csv
30,-0.004858,2.52,2.52,,-0.004858,0.0,250000.csv
31,-0.004857,2.52,2.52,,-0.004857,0.0,250000.csv
32,-0.004856,2.52,2.52,,-0.004856,0.0,250000.csv
33,-0.004855,2.52,2.52,,-0.004855,0.0,250000.csv
34,-0.004854,2.52,2.52,,-0.004854,0.0,250000.csv
35,-0.004853,2.56,2.48,,-0.004853,0.08,250000.csv
36,-0.004852,2.52,2.52,,-0.004852,0.0,250000.csv
37,-0.004851,2.52,2.52,,-0.004851,0.0,250000.csv
38,-0.00485,2.52,2.52,,-0.00485,0.0,250000.csv
39,-0.004849,2.52,2.52,,-0.004849,0.0,250000.csv
40,-0.004848,2.52,2.52,,-0.004848,0.0,250000.csv
41,-0.004847,2.52,2.52,,-0.004847,0.0,250000.csv
42,-0.004846,2.52,2.48,,-0.004846,0.04,250000.csv
43,-0.004845,2.52,2.52,,-0.004845,0.0,250000.csv
44,-0.004844,2.52,2.52,,-0.004844,0.0,250000.csv
45,-0.004843,2.52,2.52,,-0.004843,0.0,250000.csv
46,-0.004842,2.56,2.52,,-0.004842,0.04,250000.csv
47,-0.004841,2.52,2.52,,-0.004841,0.0,250000.csv
48,-0.00484,2.52,2.52,,-0.00484,0.0,250000.csv
49,-0.004839,2.56,2.48,,-0.004839,0.08,250000.csv
50,-0.004838,2.52,2.52,,-0.004838,0.0,250000.csv
51,-0.004837,2.52,2.48,,-0.004837,0.04,250000.csv
52,-0.004836,2.56,2.52,,-0.004836,0.04,250000.csv
53,-0.004835,2.52,2.52,,-0.004835,0.0,250000.csv
54,-0.004834,2.52,2.52,,-0.004834,0.0,250000.csv
55,-0.004833,2.52,2.52,,-0.004833,0.0,250000.csv
56,-0.004832,2.52,2.52,,-0.004832,0.0,250000.csv
57,-0.004831,2.48,2.52,,-0.004831,-0.04,250000.csv
58,-0.00483,2.52,2.48,,-0.00483,0.04,250000.csv
59,-0.004829,2.56,2.56,,-0.004829,0.0,250000.csv
60,-0.004828,2.52,2.52,,-0.004828,0.0,250000.csv
61,-0.004827,2.56,2.52,,-0.004827,0.04,250000.csv
62,-0.004826,2.52,2.52,,-0.004826,0.0,250000.csv
63,-0.004825,2.52,2.52,,-0.004825,0.0,250000.csv
64,-0.004824,2.52,2.52,,-0.004824,0.0,250000.csv
65,-0.004823,2.56,2.52,,-0.004823,0.04,250000.csv
66,-0.004822,2.52,2.52,,-0.004822,0.0,250000.csv
67,-0.004821,2.48,2.48,,-0.004821,0.0,250000.csv
68,-0.00482,2.52,2.52,,-0.00482,0.0,250000.csv
69,-0.004819,2.56,2.52,,-0.004819,0.04,250000.csv
70,-0.004818,2.52,2.52,,-0.004818,0.0,250000.csv
71,-0.004817,2.52,2.52,,-0.004817,0.0,250000.csv
72,-0.004816,2.52,2.52,,-0.004816,0.0,250000.csv
73,-0.004815,2.52,2.52,,-0.004815,0.0,250000.csv
74,-0.004814,2.52,2.52,,-0.004814,0.0,250000.csv
75,-0.004813,2.52,2.52,,-0.004813,0.0,250000.csv
76,-0.004812,2.56,2.56,,-0.004812,0.0,250000.csv
77,-0.004811,2.52,2.52,,-0.004811,0.0,250000.csv
78,-0.00481,2.52,2.52,,-0.00481,0.0,250000.csv
79,-0.004809,2.56,2.48,,-0.004809,0.08,250000.csv
80,-0.004808,2.56,2.48,,-0.004808,0.08,250000.csv
81,-0.004807,2.52,2.52,,-0.004807,0.0,250000.csv
82,-0.004806,2.52,2.44,,-0.004806,0.08,250000.csv
83,-0.004805,2.52,2.52,,-0.004805,0.0,250000.csv
84,-0.004804,2.52,2.52,,-0.004804,0.0,250000.csv
85,-0.004803,2.52,2.56,,-0.004803,-0.04,250000.csv
86,-0.004802,2.56,2.52,,-0.004802,0.04,250000.csv
87,-0.004801,2.52,2.52,,-0.004801,0.0,250000.csv
88,-0.0048,2.56,2.52,,-0.0048,0.04,250000.csv
89,-0.004799,2.52,2.48,,-0.004799,0.04,250000.csv
90,-0.004798,2.56,2.52,,-0.004798,0.04,250000.csv
91,-0.004797,2.56,2.52,,-0.004797,0.04,250000.csv
92,-0.004796,2.56,2.48,,-0.004796,0.08,250000.csv
93,-0.004795,2.52,2.48,,-0.004795,0.04,250000.csv
94,-0.004794,2.52,2.48,,-0.004794,0.04,250000.csv
95,-0.004793,2.52,2.52,,-0.004793,0.0,250000.csv
96,-0.004792,2.52,2.56,,-0.004792,-0.04,250000.csv
97,-0.004791,2.52,2.52,,-0.004791,0.0,250000.csv
98,-0.00479,2.52,2.52,,-0.00479,0.0,250000.csv
99,-0.004789,2.52,2.52,,-0.004789,0.0,250000.csv
100,-0.004788,2.56,2.52,,-0.004788,0.04,250000.csv
101,-0.004787,2.56,2.52,,-0.004787,0.04,250000.csv
102,-0.004786,2.56,2.52,,-0.004786,0.04,250000.csv
103,-0.004785,2.52,2.52,,-0.004785,0.0,250000.csv
104,-0.004784,2.48,2.52,,-0.004784,-0.04,250000.csv
105,-0.004783,2.52,2.52,,-0.004783,0.0,250000.csv
106,-0.004782,2.52,2.52,,-0.004782,0.0,250000.csv
107,-0.004781,2.52,2.52,,-0.004781,0.0,250000.csv
108,-0.00478,2.52,2.48,,-0.00478,0.04,250000.csv
109,-0.004779,2.56,2.52,,-0.004779,0.04,250000.csv
110,-0.004778,2.52,2.48,,-0.004778,0.04,250000.csv
111,-0.004777,2.52,2.48,,-0.004777,0.04,250000.csv
112,-0.004776,2.56,2.52,,-0.004776,0.04,250000.csv
113,-0.004775,2.52,2.52,,-0.004775,0.0,250000.csv
114,-0.004774,2.56,2.52,,-0.004774,0.04,250000.csv
115,-0.004773,2.52,2.52,,-0.004773,0.0,250000.csv
116,-0.004772,2.52,2.52,,-0.004772,0.0,250000.csv
117,-0.004771,2.52,2.52,,-0.004771,0.0,250000.csv
118,-0.00477,2.56,2.52,,-0.00477,0.04,250000.csv
119,-0.004769,2.52,2.52,,-0.004769,0.0,250000.csv
120,-0.004768,2.52,2.52,,-0.004768,0.0,250000.csv
121,-0.004767,2.56,2.52,,-0.004767,0.04,250000.csv
122,-0.004766,2.52,2.52,,-0.004766,0.0,250000.csv
123,-0.004765,2.52,2.48,,-0.004765,0.04,250000.csv
124,-0.004764,2.56,2.52,,-0.004764,0.04,250000.csv
125,-0.004763,2.56,2.52,,-0.004763,0.04,250000.csv
126,-0.004762,2.52,2.52,,-0.004762,0.0,250000.csv
127,-0.004761,2.56,2.52,,-0.004761,0.04,250000.csv
128,-0.00476,2.52,2.52,,-0.00476,0.0,250000.csv
129,-0.004759,2.52,2.52,,-0.004759,0.0,250000.csv
130,-0.004758,2.48,2.52,,-0.004758,-0.04,250000.csv
131,-0.004757,2.56,2.52,,-0.004757,0.04,250000.csv
132,-0.004756,2.52,2.52,,-0.004756,0.0,250000.csv
133,-0.004755,2.56,2.52,,-0.004755,0.04,250000.csv
134,-0.004754,2.52,2.52,,-0.004754,0.0,250000.csv
135,-0.004753,2.56,2.52,,-0.004753,0.04,250000.csv
136,-0.004752,2.52,2.48,,-0.004752,0.04,250000.csv
137,-0.004751,2.52,2.56,,-0.004751,-0.04,250000.csv
138,-0.00475,2.52,2.52,,-0.00475,0.0,250000.csv
139,-0.004749,2.48,2.52,,-0.004749,-0.04,250000.csv
140,-0.004748,2.52,2.52,,-0.004748,0.0,250000.csv
141,-0.004747,2.56,2.52,,-0.004747,0.04,250000.csv
142,-0.004746,2.56,2.52,,-0.004746,0.04,250000.csv
143,-0.004745,2.52,2.48,,-0.004745,0.04,250000.csv
144,-0.004744,2.52,2.52,,-0.004744,0.0,250000.csv
145,-0.004743,2.52,2.48,,-0.004743,0.04,250000.csv
146,-0.004742,2.52,2.52,,-0.004742,0.0,250000.csv
147,-0.004741,2.52,2.52,,-0.004741,0.0,250000.csv
148,-0.00474,2.52,2.52,,-0.00474,0.0,250000.csv
149,-0.004739,2.56,2.52,,-0.004739,0.04,250000.csv
150,-0.004738,2.52,2.52,,-0.004738,0.0,250000.csv
151,-0.004737,2.52,2.56,,-0.004737,-0.04,250000.csv
152,-0.004736,2.52,2.52,,-0.004736,0.0,250000.csv
153,-0.004735,2.52,2.52,,-0.004735,0.0,250000.csv
154,-0.004734,2.52,2.52,,-0.004734,0.0,250000.csv
155,-0.004733,2.52,2.48,,-0.004733,0.04,250000.csv
156,-0.004732,2.52,2.52,,-0.004732,0.0,250000.csv
157,-0.004731,2.56,2.52,,-0.004731,0.04,250000.csv
158,-0.00473,2.56,2.52,,-0.00473,0.04,250000.csv
159,-0.004729,2.56,2.52,,-0.004729,0.04,250000.csv
160,-0.004728,2.56,2.52,,-0.004728,0.04,250000.csv
161,-0.004727,2.52,2.52,,-0.004727,0.0,250000.csv
162,-0.004726,2.52,2.52,,-0.004726,0.0,250000.csv
163,-0.004725,2.56,2.48,,-0.004725,0.08,250000.csv
164,-0.004724,2.52,2.52,,-0.004724,0.0,250000.csv
165,-0.004723,2.52,2.48,,-0.004723,0.04,250000.csv
166,-0.004722,2.52,2.52,,-0.004722,0.0,250000.csv
167,-0.004721,2.56,2.52,,-0.004721,0.04,250000.csv
168,-0.00472,2.52,2.48,,-0.00472,0.04,250000.csv
169,-0.004719,2.52,2.48,,-0.004719,0.04,250000.csv
170,-0.004718,2.52,2.52,,-0.004718,0.0,250000.csv
171,-0.004717,2.56,2.48,,-0.004717,0.08,250000.csv
172,-0.004716,2.56,2.52,,-0.004716,0.04,250000.csv
173,-0.004715,2.52,2.52,,-0.004715,0.0,250000.csv
174,-0.004714,2.56,2.52,,-0.004714,0.04,250000.csv
175,-0.004713,2.48,2.52,,-0.004713,-0.04,250000.csv
176,-0.004712,2.52,2.52,,-0.004712,0.0,250000.csv
177,-0.004711,2.52,2.52,,-0.004711,0.0,250000.csv
178,-0.00471,2.52,2.56,,-0.00471,-0.04,250000.csv
179,-0.004709,2.52,2.52,,-0.004709,0.0,250000.csv
180,-0.004708,2.52,2.52,,-0.004708,0.0,250000.csv
181,-0.004707,2.52,2.48,,-0.004707,0.04,250000.csv
182,-0.004706,2.52,2.52,,-0.004706,0.0,250000.csv
183,-0.004705,2.52,2.48,,-0.004705,0.04,250000.csv
184,-0.004704,2.6,2.52,,-0.004704,0.08,250000.csv
185,-0.004703,2.52,2.52,,-0.004703,0.0,250000.csv
186,-0.004702,2.52,2.52,,-0.004702,0.0,250000.csv
187,-0.004701,2.56,2.52,,-0.004701,0.04,250000.csv
188,-0.0047,2.56,2.52,,-0.0047,0.04,250000.csv
189,-0.004699,2.52,2.48,,-0.004699,0.04,250000.csv
190,-0.004698,2.52,2.52,,-0.004698,0.0,250000.csv
191,-0.004697,2.56,2.52,,-0.004697,0.04,250000.csv
192,-0.004696,2.52,2.48,,-0.004696,0.04,250000.csv
193,-0.004695,2.56,2.52,,-0.004695,0.04,250000.csv
194,-0.004694,2.52,2.52,,-0.004694,0.0,250000.csv
195,-0.004693,2.52,2.48,,-0.004693,0.04,250000.csv
196,-0.004692,2.48,2.52,,-0.004692,-0.04,250000.csv
197,-0.004691,2.52,2.52,,-0.004691,0.0,250000.csv
198,-0.00469,2.52,2.52,,-0.00469,0.0,250000.csv
199,-0.004689,2.56,2.48,,-0.004689,0.08,250000.csv
200,-0.004688,2.52,2.52,,-0.004688,0.0,250000.csv
201,-0.004687,2.56,2.52,,-0.004687,0.04,250000.csv
202,-0.004686,2.56,2.52,,-0.004686,0.04,250000.csv
203,-0.004685,2.56,2.52,,-0.004685,0.04,250000.csv
204,-0.004684,2.52,2.52,,-0.004684,0.0,250000.csv
205,-0.004683,2.52,2.48,,-0.004683,0.04,250000.csv
206,-0.004682,2.52,2.52,,-0.004682,0.0,250000.csv
207,-0.004681,2.52,2.48,,-0.004681,0.04,250000.csv
208,-0.00468,2.52,2.52,,-0.00468,0.0,250000.csv
209,-0.004679,2.56,2.52,,-0.004679,0.04,250000.csv
210,-0.004678,2.48,2.52,,-0.004678,-0.04,250000.csv
211,-0.004677,2.56,2.52,,-0.004677,0.04,250000.csv
212,-0.004676,2.56,2.52,,-0.004676,0.04,250000.csv
213,-0.004675,2.56,2.48,,-0.004675,0.08,250000.csv
214,-0.004674,2.52,2.52,,-0.004674,0.0,250000.csv
215,-0.004673,2.48,2.52,,-0.004673,-0.04,250000.csv
216,-0.004672,2.56,2.48,,-0.004672,0.08,250000.csv
217,-0.004671,2.52,2.52,,-0.004671,0.0,250000.csv
218,-0.00467,2.52,2.52,,-0.00467,0.0,250000.csv
219,-0.004669,2.52,2.48,,-0.004669,0.04,250000.csv
220,-0.004668,2.52,2.52,,-0.004668,0.0,250000.csv
221,-0.004667,2.52,2.52,,-0.004667,0.0,250000.csv
222,-0.004666,2.52,2.48,,-0.004666,0.04,250000.csv
223,-0.004665,2.56,2.52,,-0.004665,0.04,250000.csv
224,-0.004664,2.52,2.52,,-0.004664,0.0,250000.csv
225,-0.004663,2.56,2.52,,-0.004663,0.04,250000.csv
226,-0.004662,2.56,2.52,,-0.004662,0.04,250000.csv
227,-0.004661,2.52,2.48,,-0.004661,0.04,250000.csv
228,-0.00466,2.52,2.52,,-0.00466,0.0,250000.csv
229,-0.004659,2.52,2.48,,-0.004659,0.04,250000.csv
230,-0.004658,2.52,2.52,,-0.004658,0.0,250000.csv
231,-0.004657,2.52,2.52,,-0.004657,0.0,250000.csv
232,-0.004656,2.52,2.48,,-0.004656,0.04,250000.csv
233,-0.004655,2.52,2.48,,-0.004655,0.04,250000.csv
234,-0.004654,2.52,2.48,,-0.004654,0.04,250000.csv
235,-0.004653,2.56,2.52,,-0.004653,0.04,250000.csv
236,-0.004652,2.52,2.52,,-0.004652,0.0,250000.csv
237,-0.004651,2.52,2.52,,-0.004651,0.0,250000.csv
238,-0.00465,2.52,2.48,,-0.00465,0.04,250000.csv
239,-0.004649,2.52,2.52,,-0.004649,0.0,250000.csv
240,-0.004648,2.52,2.52,,-0.004648,0.0,250000.csv
241,-0.004647,2.52,2.52,,-0.004647,0.0,250000.csv
242,-0.004646,2.56,2.52,,-0.004646,0.04,250000.csv
243,-0.004645,2.52,2.52,,-0.004645,0.0,250000.csv
244,-0.004644,2.56,2.52,,-0.004644,0.04,250000.csv
245,-0.004643,2.52,2.52,,-0.004643,0.0,250000.csv
246,-0.004642,2.52,2.52,,-0.004642,0.0,250000.csv
247,-0.004641,2.52,2.52,,-0.004641,0.0,250000.csv
248,-0.00464,2.48,2.56,,-0.00464,-0.08,250000.csv
249,-0.004639,2.52,2.52,,-0.004639,0.0,250000.csv
250,-0.004638,2.52,2.52,,-0.004638,0.0,250000.csv
251,-0.004637,2.52,2.52,,-0.004637,0.0,250000.csv
252,-0.004636,2.52,2.52,,-0.004636,0.0,250000.csv
253,-0.004635,2.56,2.52,,-0.004635,0.04,250000.csv
254,-0.004634,2.52,2.52,,-0.004634,0.0,250000.csv
255,-0.004633,2.52,2.52,,-0.004633,0.0,250000.csv
256,-0.004632,2.52,2.52,,-0.004632,0.0,250000.csv
257,-0.004631,2.52,2.52,,-0.004631,0.0,250000.csv
258,-0.00463,2.56,2.52,,-0.00463,0.04,250000.csv
259,-0.004629,2.56,2.52,,-0.004629,0.04,250000.csv
