Model,MDO3034
Firmware Version,1.10

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.001,,,Horizontal Scale,0.001
Horizontal Delay,0.000112,,,Horizontal Delay,0.000112
Sample Interval,1e-06,,,Sample Interval,1e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,10,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.1
Vertical Position,0,0,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-4.888000e-03,2.52,2.52,,-4.888000e-03,0
-4.887000e-03,2.52,2.56,,-4.887000e-03,-0.04
-4.886000e-03,2.52,2.56,,-4.886000e-03,-0.04
-4.885000e-03,2.48,2.48,,-4.885000e-03,0
-4.884000e-03,2.52,2.52,,-4.884000e-03,0
-4.883000e-03,2.52,2.52,,-4.883000e-03,0
-4.882000e-03,2.48,2.52,,-4.882000e-03,-0.04
-4.881000e-03,2.52,2.48,,-4.881000e-03,0.04
-4.880000e-03,2.52,2.52,,-4.880000e-03,0
-4.879000e-03,2.52,2.52,,-4.879000e-03,0
-4.878000e-03,2.52,2.52,,-4.878000e-03,0
-4.877000e-03,2.52,2.52,,-4.877000e-03,0
-4.876000e-03,2.52,2.52,,-4.876000e-03,0
-4.875000e-03,2.52,2.52,,-4.875000e-03,0
-4.874000e-03,2.52,2.48,,-4.874000e-03,0.04
-4.873000e-03,2.52,2.52,,-4.873000e-03,0
-4.872000e-03,2.52,2.52,,-4.872000e-03,0
-4.871000e-03,2.52,2.52,,-4.871000e-03,0
-4.870000e-03,2.52,2.48,,-4.870000e-03,0.04
-4.869000e-03,2.56,2.52,,-4.869000e-03,0.04
-4.868000e-03,2.52,2.52,,-4.868000e-03,0
-4.867000e-03,2.52,2.52,,-4.867000e-03,0
-4.866000e-03,2.52,2.52,,-4.866000e-03,0
-4.865000e-03,2.56,2.48,,-4.865000e-03,0.08
-4.864000e-03,2.52,2.52,,-4.864000e-03,0
-4.863000e-03,2.52,2.52,,-4.863000e-03,0
-4.862000e-03,2.52,2.52,,-4.862000e-03,0
-4.861000e-03,2.52,2.56,,-4.861000e-03,-0.04
-4.860000e-03,2.56,2.52,,-4.860000e-03,0.04
-4.859000e-03,2.52,2.52,,-4.859000e-03,0
-4.858000e-03,2.52,2.52,,-4.858000e-03,0
-4.857000e-03,2.52,2.52,,-4.857000e-03,0
-4.856000e-03,2.52,2.52,,-4.856000e-03,0
-4.855000e-03,2.52,2.52,,-4.855000e-03,0
-4.854000e-03,2.52,2.52,,-4.854000e-03,0
-4.853000e-03,2.56,2.48,,-4.853000e-03,0.08
-4.852000e-03,2.52,2.52,,-4.852000e-03,0
-4.851000e-03,2.52,2.52,,-4.851000e-03,0
-4.850000e-03,2.52,2.52,,-4.850000e-03,0
-4.849000e-03,2.52,2.52,,-4.849000e-03,0
