Model,MDO3034
Firmware Version,1.10

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,4e-05,,,Horizontal Scale,4e-05
Horizontal Delay,8.24e-05,,,Horizontal Delay,8.24e-05
Sample Interval,4e-08,,,Sample Interval,4e-08
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,10,,Probe Attenuation,10
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,1
Vertical Position,-2.64,-2.56,,Vertical Position,-2.64
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.176000e-04,2.6,2.52,,-1.176000e-04,2.6
-1.175600e-04,2.56,2.52,,-1.175600e-04,2.56
-1.175200e-04,2.56,2.52,,-1.175200e-04,2.56
-1.174800e-04,2.56,2.52,,-1.174800e-04,2.56
-1.174400e-04,2.56,2.52,,-1.174400e-04,2.56
-1.174000e-04,2.56,2.52,,-1.174000e-04,2.56
-1.173600e-04,2.56,2.56,,-1.173600e-04,2.56
-1.173200e-04,2.52,2.52,,-1.173200e-04,2.52
-1.172800e-04,2.52,2.52,,-1.172800e-04,2.52
-1.172400e-04,2.56,2.56,,-1.172400e-04,2.56
-1.172000e-04,2.52,2.52,,-1.172000e-04,2.52
-1.171600e-04,2.6,2.52,,-1.171600e-04,2.6
-1.171200e-04,2.6,2.52,,-1.171200e-04,2.6
-1.170800e-04,2.52,2.56,,-1.170800e-04,2.52
-1.170400e-04,2.56,2.52,,-1.170400e-04,2.56
-1.170000e-04,2.52,2.52,,-1.170000e-04,2.52
-1.169600e-04,2.56,2.52,,-1.169600e-04,2.56
-1.169200e-04,2.56,2.56,,-1.169200e-04,2.56
-1.168800e-04,2.56,2.52,,-1.168800e-04,2.56
-1.168400e-04,2.56,2.52,,-1.168400e-04,2.56
-1.168000e-04,2.56,2.52,,-1.168000e-04,2.56
-1.167600e-04,2.52,2.56,,-1.167600e-04,2.52
-1.167200e-04,2.56,2.56,,-1.167200e-04,2.56
-1.166800e-04,2.52,2.56,,-1.166800e-04,2.52
-1.166400e-04,2.6,2.52,,-1.166400e-04,2.6
-1.166000e-04,2.56,2.52,,-1.166000e-04,2.56
-1.165600e-04,2.56,2.52,,-1.165600e-04,2.56
-1.165200e-04,2.52,2.52,,-1.165200e-04,2.52
-1.164800e-04,2.56,2.52,,-1.164800e-04,2.56
-1.164400e-04,2.56,2.52,,-1.164400e-04,2.56
-1.164000e-04,2.56,2.56,,-1.164000e-04,2.56
-1.163600e-04,2.56,2.52,,-1.163600e-04,2.56
-1.163200e-04,2.52,2.52,,-1.163200e-04,2.52
-1.162800e-04,2.52,2.56,,-1.162800e-04,2.52
-1.162400e-04,2.6,2.52,,-1.162400e-04,2.6
-1.162000e-04,2.56,2.56,,-1.162000e-04,2.56
-1.161600e-04,2.6,2.56,,-1.161600e-04,2.6
-1.161200e-04,2.6,2.56,,-1.161200e-04,2.6
